,subID,stimset_rows,subtlety,responses,movie,trial_num
1,15043,56,90,Grey dot was following black dot. Both moving downwards.,ceedd529-39a5-4c29-8103-d6ac89521de6,1
6,15044,54,90,towards end they were mimicking each other,1d4805c2-68cf-415b-af2f-f7c0564b59aa,6
4,15045,50,90,grey dot was chasing the black dot but the black dot kept a set distance away,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,4
6,15046,57,90,"they were moving slightly together and then apart, ending closer together",1841b8a9-ff1d-481d-80de-2134f2461e8b,6
6,15047,61,90,Dots were hovering towards the bottom left of the screen almost in sync,c7f85153-52e8-4379-839f-9596d6a3ee62,6
1,15048,60,90,"Gray was chasing black dot, black was trying to evade when it became aware of grey.",ceedd529-39a5-4c29-8103-d6ac89521de6,1
1,15049,58,90,"Grey was going in a small movement pattern from right to left. Black started doing similar towards grey from left to right, but then turned as if running from gray.",7d6cad69-203a-49a4-9c6e-b0423a669e50,1
2,15050,62,90,"Grey was chasing black, but blacks movement seemed slightly more erratic",a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,2
6,15051,64,90,the black dot was chasing the grey dot,16088d09-c11d-4b03-8c77-f92a33554c1e,6
6,15052,69,90,the black dot was chasing the grey dot from a distance,1d4805c2-68cf-415b-af2f-f7c0564b59aa,6
5,15053,67,90,The dots started of far apart and then both moved towards each other but they did not touch each other.,06f1dd04-cfbc-433c-9833-32cdb01c0683,5
4,15054,70,90,The light dot was chasing the dark dot. The dark dot saw the light dot a short time in,7d6cad69-203a-49a4-9c6e-b0423a669e50,4
6,15055,71,90,"light grey dot moved towards the right, dark dot moved up and down across screen",1841b8a9-ff1d-481d-80de-2134f2461e8b,6
2,15056,65,90,they moved from middle to the bottom part,42ffed3d-edac-4ca7-9b33-6f525cb7c364,2
5,15057,68,90,The grey dot was moving in the same way of the black dot but not getting close to each other,22162d51-e2bc-4fd2-af29-7d21f36eca1d,5
4,15058,73,90,the grey dot started trying to catch up with the black dot,ceedd529-39a5-4c29-8103-d6ac89521de6,4
3,15059,74,90,the dark dot was zig zagging.,42ffed3d-edac-4ca7-9b33-6f525cb7c364,3
1,15000,0,120,moving towards the left,b7261f19-79df-4505-b935-0cb890ebda9c,1
3,15001,1,120,A grey dot moved in circles while the black dot appeared to bounce around.,6480385b-e9eb-45a9-88e3-aade6c90476d,3
5,15002,2,120,the dots were on their own separate paths but looked like they were about to collide,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,5
5,15003,3,120,Both had completely random movements,7da9ad01-3df5-45e9-8edf-4af0795536e1,5
0,15004,6,120,"Black dot is moving on the left, grey on the right",5d69d5c8-83dd-43c4-be85-f1c2ff45960d,0
0,15005,11,120,"Black dot was minding its business, the grey dot was trying to spy on the black one",a68cb7dc-2812-45a9-b8f6-862ff43630fb,0
2,15006,12,120,Grey dot was slowly floating towards the black on again and the black one was moving to the left,b7261f19-79df-4505-b935-0cb890ebda9c,2
6,15007,13,120,light dot is unaware of black dot,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,6
4,15008,21,120,floating to the right top corner,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,4
2,15009,10,120,The grey dot seemed to be following the black dot from a distance.,1bc0b0c8-e058-4a68-bdab-65b544a8848d,2
0,15010,17,120,Moving like incets on water or small cells,9996b324-9da6-4bd7-a5d5-305513d257ce,0
2,15011,15,120,The black dot was moving closer to the grey dot whilst the grey dot moved randomly and then moved away from the black dot,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,2
1,15012,21,120,The black dot moved in an erratic way to the right where as the grey dot wavered about the right side of the box,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,1
4,15013,14,120,Both dots were playing,a68cb7dc-2812-45a9-b8f6-862ff43630fb,4
0,15014,16,120,moving around but slightly closer and closer with each move towards each other while going downward ,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,0
0,15015,23,120,black dot moving left gray dot moving right,6480385b-e9eb-45a9-88e3-aade6c90476d,0
1,15016,25,120,The dots a moving up and down on different sides of the screen,1bc0b0c8-e058-4a68-bdab-65b544a8848d,1
3,15017,19,120,"I mostly saw what the black dot was doing, and I think it was writing or drawing: its movements seemed precise.",7da9ad01-3df5-45e9-8edf-4af0795536e1,3
3,15018,20,120,BOTH DOTS MOVING TO THR BOTTOM OF THE SCREEN,987cd79f-7d6a-426b-8983-8bee8675f0ba,3
6,15019,26,120,"the grey dot did small movements, the black dot did big ones",9996b324-9da6-4bd7-a5d5-305513d257ce,6
4,15020,23,120,Circular motions before moving direction,6480385b-e9eb-45a9-88e3-aade6c90476d,4
0,15021,28,120,moving around the screen,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,0
2,15022,32,120,The dots were moving on the screen,a68cb7dc-2812-45a9-b8f6-862ff43630fb,2
3,15023,31,120,The black dot moved up and down. The gray dot went in a little bit of a circle and then down.,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,3
