stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
b75e278a-0fbd-474b-92b0-7038934dda4b,chase,30,100.0,1.992,1,325,78
24724e9a-8a79-4ab8-a58f-e007c5d00714,chase,120,97.0,2.218,1,325,79
b70d0259-cb69-48f1-b026-46452cf6e70f,wander,180,26.0,2.424,0,325,80
4f1db8f7-63a7-4e49-b31b-12adcf107bf0,chase,150,19.0,2.185,1,325,81
f4c4b671-d1de-4b8d-adad-ab6e05900d81,chase,90,69.0,2.306,1,325,82
5ce017a9-f595-403c-a861-53e49993751a,wander,180,41.0,2.648,1,325,83
d145a05f-e3c9-4244-b83b-2792e29b0493,chase,150,0.0,2.492,1,309,0
a763322d-d8ef-4998-b3d2-05767e0273f2,chase,150,0.0,2.052,0,309,1
2cf66fb7-ab1d-466b-be40-d9f856dc213f,wander,180,100.0,2.97,1,309,2
0ea38b84-b2dc-4072-b4b8-3dce5f53debc,chase,120,100.0,3.414,1,309,3
1a3da098-0a3a-43af-af4a-a9fad5adcce6,chase,90,100.0,2.608,1,309,4
bee25e5c-74fd-4f63-b2e7-43b8af6bb08c,chase,90,100.0,2.723,1,309,5
b3b1ce6f-50f4-4922-80d2-b53f06819db2,chase,120,100.0,2.694,1,309,6
c4c5c990-2898-4b30-8454-9be48985cf75,chase,150,0.0,2.354,0,309,7
65c87d60-ca32-4b8c-862c-41cd8e585b4b,chase,0,100.0,2.631,1,309,8
84e883bc-3ec7-4bef-bdb3-2016001d7f47,chase,120,0.0,2.44,1,309,9
92158ea9-b156-4e87-a2e3-ff0845033b9c,chase,150,0.0,2.558,0,309,10
c798455f-e351-48ee-b7cd-d27d6bb7ad61,chase,60,100.0,3.679,1,309,11
7d329546-ecf4-4612-8f00-c127c77d5d6c,chase,60,100.0,2.703,1,309,12
8af66fd7-6ab4-47a3-a88c-02fd34772ac6,wander,180,0.0,3.75,0,309,13
1d35e834-4947-46b2-9cbd-816ea4587c6f,wander,180,0.0,3.356,0,309,14
b75e278a-0fbd-474b-92b0-7038934dda4b,chase,30,100.0,2.689,1,309,15
81f068e9-cbbc-4d88-8e31-206979547986,chase,120,100.0,2.352,1,309,16
c51864d5-4cd9-435e-8d8b-210c8454248a,chase,0,100.0,2.603,1,309,17
42d1593c-1903-4c06-8304-6d2b29c5be37,chase,30,100.0,2.368,1,309,18
cd9d4d31-b57e-4c3d-86c6-267ce9eec948,chase,60,100.0,2.338,1,309,19
4f1db8f7-63a7-4e49-b31b-12adcf107bf0,chase,150,0.0,3.384,0,309,20
4fb304a5-e4d9-4469-a34d-360a50cb0d09,chase,60,100.0,2.719,1,309,21
068dfd59-6b9c-4eca-b60c-7eb73cc72305,chase,0,100.0,2.599,1,309,22
