,stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
84,7f76ce9f-1463-4e78-87a4-6a54cd80ee88,chase,90,100.0,2.793,1,325,0,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
85,1d35e834-4947-46b2-9cbd-816ea4587c6f,wander,180,0.0,2.904,1,325,1,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
86,18c4991b-f4d6-47a6-b29a-81f425410c0e,chase,120,2.0,2.446,1,325,2,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
87,bc18f2bb-8e1a-4fcf-bc63-d56da485f828,chase,90,33.0,2.95,1,325,3,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
88,e4dd3e31-b4f2-4f66-9e70-0665b6bcd089,chase,30,100.0,2.386,1,325,4,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
89,46975d67-ead1-4d29-93d2-9fbd40dad49d,wander,180,58.0,2.978,0,325,5,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
90,4e913eda-699f-4aa1-831d-c82fb169914c,chase,60,81.0,1.846,1,325,6,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
91,ebb2b54b-03ef-482e-98e6-c30b11e93f54,chase,90,73.0,2.082,1,325,7,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
92,c8a1258a-1920-42bf-98e8-6c2dcc03a258,chase,60,88.0,2.366,1,325,8,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
93,f8c01499-8009-448b-9476-a38a582d3db6,chase,150,60.0,2.553,1,325,9,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
94,f9e978d5-51e5-401a-8c9a-df747f2dec53,chase,0,87.0,2.336,1,325,10,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
95,496c052f-24cd-4731-b1a3-dc6a8076719b,chase,120,73.0,2.776,1,325,11,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
96,3dbf8de7-1bf7-4a43-a5e3-4366a94ea690,chase,90,34.0,2.95,1,325,12,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
97,411043c2-72c5-48c5-8cb7-febcebc40f98,chase,30,93.0,2.916,1,325,13,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
98,bee25e5c-74fd-4f63-b2e7-43b8af6bb08c,chase,90,93.0,3.028,1,325,14,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
99,7ef8daac-db75-4ee8-a071-f88ace7368fa,chase,60,95.0,1.816,1,325,15,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
100,2b3090fe-a6e0-4e32-8e43-767b0d526444,chase,60,100.0,2.398,1,325,16,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
101,d145a05f-e3c9-4244-b83b-2792e29b0493,chase,150,96.0,1.968,1,325,17,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
102,599df54c-434d-46db-a56a-5698a4ae9a9e,chase,150,7.0,2.149,0,325,18,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
103,12ba80f8-98cb-4c76-836d-72c2d6364a8e,chase,120,2.0,2.634,1,325,19,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
104,92158ea9-b156-4e87-a2e3-ff0845033b9c,chase,150,2.0,2.311,1,325,20,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
105,2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,wander,180,0.0,2.623,0,325,21,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
106,cd35aaa0-2e49-4c68-9db3-f26fb9be29c5,chase,0,100.0,2.15,1,325,22,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
107,0ea90462-f5e2-47a7-bd4b-2ea1c0bb7293,chase,60,100.0,2.705,1,325,23,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
108,67a027b6-67e1-4784-aaad-ab48b5731cca,chase,0,100.0,3.105,1,325,24,20.0,21.0,15.0,22.0,16.0,17.0,1.0,44.0,29.0,46.0,39.0,37.0,56.0,2.0,0.1898726155675753,0.7891084347995089
