stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
35fbacfe-f7fd-45d5-9266-5f6631809d11,chase,60,black,100.0,black,3.355,1,2,64
7bee52f4-919b-4633-b742-a0181f5f7f01,wander,180,grey,0.0,grey,3.384,1,2,65
9093ecfa-6a76-4110-b88c-dd9330281781,chase,30,grey,100.0,grey,3.188,1,2,66
a68cb7dc-2812-45a9-b8f6-862ff43630fb,chase,120,grey,27.0,grey,2.793,1,2,67
37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,black,100.0,black,3.408,1,2,68
0ea51ff3-f8ac-4d29-a981-0a167d74909c,chase,30,black,100.0,black,3.395,1,2,69
1d4805c2-68cf-415b-af2f-f7c0564b59aa,chase,90,black,67.0,black,3.448,1,2,70
53613c0d-b07e-4b22-b6ec-56dda26edc8f,chase,0,grey,100.0,grey,2.532,1,2,71
a4bd654a-f8f1-44b4-907f-0114e1caa391,chase,30,black,100.0,black,2.825,1,2,72
85aa46c9-fe72-469c-a4cd-96f72ab4ccba,chase,60,black,100.0,black,2.61,1,2,73
cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,black,100.0,black,3.374,1,2,74
8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,chase,60,grey,87.0,grey,3.578,1,2,75
19c65966-3d88-4851-afe4-ae34c498748c,chase,0,grey,100.0,grey,4.08,1,2,76
3273fde2-4b65-4cc7-b9b3-ef2604e8a514,chase,60,grey,100.0,grey,3.099,1,2,77
16088d09-c11d-4b03-8c77-f92a33554c1e,chase,90,black,80.0,black,2.959,1,2,78
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,black,100.0,black,2.925,1,2,79
1841b8a9-ff1d-481d-80de-2134f2461e8b,chase,90,grey,84.0,grey,2.194,1,2,80
00139b14-fa60-4af8-9eba-0b4965060c34,wander,180,black,0.0,grey,3.194,0,2,81
9dfa52b0-9e95-49de-bddb-e53316f2b4ae,chase,0,grey,100.0,grey,2.67,1,2,82
9c46112a-3307-42b7-8386-bdf38ba679af,chase,150,grey,56.0,grey,3.922,1,2,83
07cdb9d7-6577-428d-9498-8a7243527554,chase,0,grey,85.0,grey,3.622,1,3,0
124f53c2-90c6-4716-8221-e86088f8d257,wander,180,grey,0.0,grey,5.431,1,3,1
89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,black,46.0,black,4.64,1,3,2
816e0a69-dfb6-4a6f-8ffe-97d092e27835,chase,0,black,71.0,black,3.73,1,3,3
0a730462-ba50-4dbe-97c6-911f61a40346,chase,30,grey,65.0,grey,2.852,1,3,4
9c46112a-3307-42b7-8386-bdf38ba679af,chase,150,grey,49.0,grey,3.373,1,3,5
1841b8a9-ff1d-481d-80de-2134f2461e8b,chase,90,grey,60.0,grey,3.632,1,3,6
4a6f7598-dc16-47d6-987e-a48c1f938428,wander,180,grey,2.0,black,4.272,0,3,7
7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,black,49.0,black,3.155,1,3,8
0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,chase,30,grey,51.0,grey,2.881,1,3,9
1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,grey,51.0,grey,4.306,1,3,10
adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,chase,60,grey,64.0,grey,3.192,1,3,11
27771508-6d61-4618-83ca-4bc020efddfe,wander,180,grey,49.0,black,3.116,0,3,12
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,black,5.0,black,4.665,1,3,13
70f615a0-31d5-42b9-a44b-f5746c0b41a8,wander,180,black,33.0,black,3.979,1,3,14
8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,chase,60,grey,51.0,grey,5.414,1,3,15
00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,wander,180,grey,29.0,grey,3.967,1,3,16
37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,black,85.0,black,3.735,1,3,17
8d9b8961-4fb1-4413-b875-966e01b9963a,chase,60,black,87.0,black,3.571,1,3,18
19c65966-3d88-4851-afe4-ae34c498748c,chase,0,grey,66.0,grey,3.524,1,3,19
4bc5af99-ede5-49ec-a929-d4fc6fae9b43,wander,180,black,13.0,black,4.197,1,3,20
5744f837-93bf-4eba-bddf-e630dedf974e,chase,150,black,35.0,grey,4.14,0,3,21
b7261f19-79df-4505-b935-0cb890ebda9c,chase,120,grey,62.0,grey,3.609,1,3,22
bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,chase,0,black,63.0,black,4.311,1,3,23
4270e833-4dad-483f-85cb-3dee1fccc571,chase,150,grey,9.0,grey,5.432,1,3,24
5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,grey,30.0,grey,4.943,1,3,25
1d4805c2-68cf-415b-af2f-f7c0564b59aa,chase,90,black,62.0,grey,5.084,0,3,26
a68cb7dc-2812-45a9-b8f6-862ff43630fb,chase,120,grey,40.0,black,4.382,0,3,27
53613c0d-b07e-4b22-b6ec-56dda26edc8f,chase,0,grey,69.0,grey,3.74,1,3,28
2a1ab94f-201b-4fa2-9947-1eab7365fb0f,chase,150,black,51.0,black,6.18,1,3,29
00139b14-fa60-4af8-9eba-0b4965060c34,wander,180,black,8.0,grey,6.277,0,3,30
a7fd07d1-e946-43a4-882d-0b3b7882ed21,chase,60,grey,63.0,grey,3.544,1,3,31
12a3cd27-040f-4199-9edb-5cd4bb71b3d0,wander,180,black,36.0,black,5.938,1,3,32
35fbacfe-f7fd-45d5-9266-5f6631809d11,chase,60,black,39.0,black,4.564,1,3,33
42ffed3d-edac-4ca7-9b33-6f525cb7c364,chase,90,black,41.0,black,4.239,1,3,34
94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,chase,120,black,44.0,black,4.332,1,3,35
cca827ad-af9d-4cfd-ae71-7e028e3f8520,chase,60,black,61.0,black,3.734,1,3,36
87b8564c-7590-4001-b1e8-6f26c4e4bf8a,chase,120,grey,19.0,grey,4.107,1,3,37
5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,black,47.0,black,3.706,1,3,38
c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,black,74.0,black,3.6,1,3,39
72e764e1-0b34-4efd-96db-5df7934b2395,chase,0,grey,86.0,grey,4.274,1,3,40
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,black,84.0,black,3.964,1,3,41
cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,black,69.0,black,3.541,1,3,42
7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,grey,89.0,grey,2.993,1,3,43
802575f0-631d-4eeb-9e49-3b401b11b953,wander,180,black,29.0,grey,7.226,0,3,44
22162d51-e2bc-4fd2-af29-7d21f36eca1d,chase,90,black,23.0,black,4.394,1,3,45
275adee0-f228-423e-816a-e5e70b874bf3,chase,150,grey,4.0,grey,4.912,1,3,46
99fed5db-be9d-4d5f-8fef-1baaad5f1b70,chase,150,grey,53.0,black,4.419,0,3,47
18487641-212a-4e1e-8730-31709d721382,chase,150,grey,26.0,black,5.151,0,3,48
0ea51ff3-f8ac-4d29-a981-0a167d74909c,chase,30,black,100.0,black,3.663,1,3,49
c6499c88-e947-4ab5-8cde-3013da4d084f,chase,30,grey,96.0,grey,4.237,1,3,50
ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,grey,88.0,grey,3.184,1,3,51
9dfa52b0-9e95-49de-bddb-e53316f2b4ae,chase,0,grey,95.0,grey,3.409,1,3,52
16088d09-c11d-4b03-8c77-f92a33554c1e,chase,90,black,63.0,black,4.313,1,3,53
6480385b-e9eb-45a9-88e3-aade6c90476d,chase,120,black,38.0,grey,3.563,0,3,54
75182d69-6502-4d35-9298-e331061c7829,chase,0,grey,90.0,grey,3.279,1,3,55
3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,chase,120,black,21.0,black,3.954,1,3,56
06f1dd04-cfbc-433c-9833-32cdb01c0683,chase,90,grey,68.0,grey,3.376,1,3,57
31932267-3908-4599-ba56-ba5043757838,chase,30,grey,100.0,grey,3.196,1,3,58
9996b324-9da6-4bd7-a5d5-305513d257ce,chase,120,grey,62.0,grey,4.697,1,3,59
7d6cad69-203a-49a4-9c6e-b0423a669e50,chase,90,grey,64.0,grey,3.763,1,3,60
68c0fec8-cf83-48bf-8079-a5f414fe7504,chase,90,black,81.0,black,2.772,1,3,61
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,black,62.0,black,3.838,1,3,62
3273fde2-4b65-4cc7-b9b3-ef2604e8a514,chase,60,grey,80.0,grey,3.193,1,3,63
91659665-5079-44c4-96c1-49da784170fa,chase,60,grey,59.0,grey,4.543,1,3,64
4cd79935-2124-4c73-9bff-ce0554f08119,chase,150,black,12.0,black,3.124,1,3,65
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,black,93.0,black,3.224,1,3,66
c188e383-94d7-475e-9da5-6d1f0a1184bb,chase,0,black,98.0,black,5.897,1,3,67
57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,grey,98.0,grey,2.968,1,3,68
804f9681-f112-463c-a764-a40a823d6845,chase,60,black,77.0,black,3.255,1,3,69
0ea53c63-8350-4a50-8dec-ccbbf0e401dc,wander,180,black,60.0,black,6.658,1,3,70
2176e0c4-bf6c-4f4a-a64b-23825205a150,wander,180,grey,43.0,black,3.194,0,3,71
a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,grey,37.0,grey,6.004,1,3,72
a4bd654a-f8f1-44b4-907f-0114e1caa391,chase,30,black,95.0,black,4.184,1,3,73
85aa46c9-fe72-469c-a4cd-96f72ab4ccba,chase,60,black,92.0,black,3.695,1,3,74
249089b6-ef6d-4ddb-973d-6d7b9d53baf8,chase,60,black,78.0,black,3.353,1,3,75
10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,grey,51.0,grey,5.039,1,3,76
7e113c5d-92b4-4c01-9588-dae0fb76eb5f,chase,150,black,30.0,black,4.574,1,3,77
9093ecfa-6a76-4110-b88c-dd9330281781,chase,30,grey,87.0,grey,4.107,1,3,78
7bee52f4-919b-4633-b742-a0181f5f7f01,wander,180,grey,33.0,grey,6.389,1,3,79
69cbd581-b3e6-4aa9-8cc0-319380d1e9ce,chase,30,black,90.0,black,3.108,1,3,80
49e5ac90-6e7f-4243-9552-8c4c10545895,chase,0,black,88.0,black,4.827,1,3,81
987cd79f-7d6a-426b-8983-8bee8675f0ba,chase,120,black,30.0,black,6.006,1,3,82
c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,grey,56.0,grey,3.888,1,3,83
a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,grey,90.0,grey,5.74,1,4,0
4bc5af99-ede5-49ec-a929-d4fc6fae9b43,wander,180,black,49.0,black,10.019,1,4,1
a68cb7dc-2812-45a9-b8f6-862ff43630fb,chase,120,grey,5.0,grey,5.934,1,4,2
5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,grey,76.0,grey,6.332,1,4,3
70f615a0-31d5-42b9-a44b-f5746c0b41a8,wander,180,black,6.0,black,6.12,1,4,4
c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,grey,99.0,grey,4.912,1,4,5
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,black,7.0,black,4.693,1,4,6
12a3cd27-040f-4199-9edb-5cd4bb71b3d0,wander,180,black,3.0,grey,5.026,0,4,7
c6499c88-e947-4ab5-8cde-3013da4d084f,chase,30,grey,98.0,grey,4.985,1,4,8
c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,black,98.0,black,3.984,1,4,9
9dfa52b0-9e95-49de-bddb-e53316f2b4ae,chase,0,grey,98.0,grey,4.277,1,4,10
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,black,94.0,black,4.065,1,4,11
1d4805c2-68cf-415b-af2f-f7c0564b59aa,chase,90,black,70.0,black,5.617,1,4,12
7d6cad69-203a-49a4-9c6e-b0423a669e50,chase,90,grey,83.0,grey,4.802,1,4,13
987cd79f-7d6a-426b-8983-8bee8675f0ba,chase,120,black,67.0,black,3.235,1,4,14
3273fde2-4b65-4cc7-b9b3-ef2604e8a514,chase,60,grey,91.0,grey,4.144,1,4,15
22162d51-e2bc-4fd2-af29-7d21f36eca1d,chase,90,black,68.0,black,5.879,1,4,16
