,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
97,19,180,17.333333333333332,3.2593333333333336,0.5,46.166666666666664,17.333333333333332,0.0,8.0,15.0,6.0,21.0,6.0,27.0,3.0,22.0,35.0,49.0,47.0,43.0,30.0,4.0,0.0912065223454574,0.8050075702442315
98,20,0,84.41666666666667,4.0215000000000005,0.9166666666666666,40.916666666666664,28.0,56.41666666666667,15.0,21.0,8.0,16.0,10.0,30.0,14.0,31.0,43.0,49.0,47.0,58.0,52.0,5.0,0.1296453078383315,0.5460047115310378
99,20,30,84.75,3.794583333333333,0.8333333333333334,39.0,28.0,56.75,15.0,21.0,8.0,16.0,10.0,30.0,14.0,31.0,43.0,49.0,47.0,58.0,52.0,5.0,0.1296453078383315,0.5460047115310378
100,20,60,67.58333333333333,4.06775,0.9166666666666666,44.666666666666664,28.0,39.58333333333333,15.0,21.0,8.0,16.0,10.0,30.0,14.0,31.0,43.0,49.0,47.0,58.0,52.0,5.0,0.1296453078383315,0.5460047115310378
101,20,90,61.81818181818182,4.499,0.75,44.75,28.0,33.81818181818182,15.0,21.0,8.0,16.0,10.0,30.0,14.0,31.0,43.0,49.0,47.0,58.0,52.0,5.0,0.1296453078383315,0.5460047115310378
102,20,120,41.083333333333336,4.3687499999999995,0.8333333333333334,46.083333333333336,28.0,13.083333333333336,15.0,21.0,8.0,16.0,10.0,30.0,14.0,31.0,43.0,49.0,47.0,58.0,52.0,5.0,0.1296453078383315,0.5460047115310378
103,20,150,28.666666666666668,4.263083333333333,0.4166666666666667,33.25,28.0,0.6666666666666679,15.0,21.0,8.0,16.0,10.0,30.0,14.0,31.0,43.0,49.0,47.0,58.0,52.0,5.0,0.1296453078383315,0.5460047115310378
104,20,180,28.0,4.75175,0.6666666666666666,41.833333333333336,28.0,0.0,15.0,21.0,8.0,16.0,10.0,30.0,14.0,31.0,43.0,49.0,47.0,58.0,52.0,5.0,0.1296453078383315,0.5460047115310378
105,21,0,97.58333333333333,2.9099166666666663,1.0,39.0,25.083333333333332,72.5,5.0,8.0,5.0,11.0,4.0,26.0,0.0,18.0,42.0,43.0,51.0,47.0,23.0,4.0,0.1586663086389395,0.7854996817902773
106,21,30,97.5,3.641583333333333,1.0,54.75,25.083333333333332,72.41666666666667,5.0,8.0,5.0,11.0,4.0,26.0,0.0,18.0,42.0,43.0,51.0,47.0,23.0,4.0,0.1586663086389395,0.7854996817902773
107,21,60,97.16666666666667,3.1313333333333335,1.0,47.833333333333336,25.083333333333332,72.08333333333334,5.0,8.0,5.0,11.0,4.0,26.0,0.0,18.0,42.0,43.0,51.0,47.0,23.0,4.0,0.1586663086389395,0.7854996817902773
108,21,90,58.5,3.4316666666666666,0.75,34.083333333333336,25.083333333333332,33.41666666666667,5.0,8.0,5.0,11.0,4.0,26.0,0.0,18.0,42.0,43.0,51.0,47.0,23.0,4.0,0.1586663086389395,0.7854996817902773
