,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
63,10,0,98.16666666666667,3.4613333333333336,1.0,42.166666666666664,11.833333333333334,86.33333333333334,7.0,6.0,10.0,12.0,8.0,31.0,0.0,20.0,48.0,38.0,46.0,58.0,28.0,4.0
64,10,30,97.83333333333333,3.220083333333333,1.0,44.416666666666664,11.833333333333334,86.0,7.0,6.0,10.0,12.0,8.0,31.0,0.0,20.0,48.0,38.0,46.0,58.0,28.0,4.0
65,10,60,98.58333333333333,3.1079166666666667,1.0,42.833333333333336,11.833333333333334,86.75,7.0,6.0,10.0,12.0,8.0,31.0,0.0,20.0,48.0,38.0,46.0,58.0,28.0,4.0
66,10,90,89.66666666666667,3.4895833333333335,1.0,43.583333333333336,11.833333333333334,77.83333333333334,7.0,6.0,10.0,12.0,8.0,31.0,0.0,20.0,48.0,38.0,46.0,58.0,28.0,4.0
67,10,120,34.5,3.9865833333333334,0.6666666666666666,39.25,11.833333333333334,22.666666666666664,7.0,6.0,10.0,12.0,8.0,31.0,0.0,20.0,48.0,38.0,46.0,58.0,28.0,4.0
68,10,150,42.25,3.203416666666667,0.5833333333333334,42.333333333333336,11.833333333333334,30.416666666666664,7.0,6.0,10.0,12.0,8.0,31.0,0.0,20.0,48.0,38.0,46.0,58.0,28.0,4.0
69,10,180,11.833333333333334,4.366916666666667,0.5,35.916666666666664,11.833333333333334,0.0,7.0,6.0,10.0,12.0,8.0,31.0,0.0,20.0,48.0,38.0,46.0,58.0,28.0,4.0
70,12,0,100.0,2.9035833333333336,1.0,32.416666666666664,24.083333333333332,75.91666666666667,28.0,29.0,17.0,22.0,30.0,12.0,35.0,60.0,20.0,31.0,29.0,33.0,70.0,2.0
71,12,30,100.0,2.4383333333333335,1.0,38.416666666666664,24.083333333333332,75.91666666666667,28.0,29.0,17.0,22.0,30.0,12.0,35.0,60.0,20.0,31.0,29.0,33.0,70.0,2.0
72,12,60,98.83333333333333,2.862833333333333,0.9166666666666666,33.25,24.083333333333332,74.75,28.0,29.0,17.0,22.0,30.0,12.0,35.0,60.0,20.0,31.0,29.0,33.0,70.0,2.0
73,12,90,98.25,2.6014166666666667,1.0,51.333333333333336,24.083333333333332,74.16666666666667,28.0,29.0,17.0,22.0,30.0,12.0,35.0,60.0,20.0,31.0,29.0,33.0,70.0,2.0
74,12,120,57.333333333333336,3.28225,0.9166666666666666,42.0,24.083333333333332,33.25,28.0,29.0,17.0,22.0,30.0,12.0,35.0,60.0,20.0,31.0,29.0,33.0,70.0,2.0
