,subID,subtlety,block_type,responses_subt_1,responses_pf,RT,accuracy,rating180,diff_from_180
1436,30262,30.0,1.0,82.66666666666667,,3709.8333333333335,1.0,34.666666666666664,48.00000000000001
1437,30262,60.0,1.0,82.5,,3344.3333333333335,1.0,34.666666666666664,47.833333333333336
1438,30262,90.0,1.0,66.5,,4407.166666666667,1.0,34.666666666666664,31.833333333333336
1439,30262,120.0,1.0,43.666666666666664,,4484.5,0.8333333333333334,34.666666666666664,9.0
1440,30262,150.0,1.0,43.333333333333336,,4062.0,0.5,34.666666666666664,8.666666666666671
1441,30262,180.0,1.0,34.666666666666664,,3790.6666666666665,0.5,34.666666666666664,0.0
1442,30263,0.0,1.0,96.16666666666667,,2985.6666666666665,1.0,28.333333333333332,67.83333333333334
1443,30263,30.0,1.0,94.16666666666667,,3324.8333333333335,1.0,28.333333333333332,65.83333333333334
1444,30263,60.0,1.0,92.0,,3280.6666666666665,1.0,28.333333333333332,63.66666666666667
1445,30263,90.0,1.0,79.16666666666667,,3294.8333333333335,0.8333333333333334,28.333333333333332,50.83333333333334
1446,30263,120.0,1.0,59.333333333333336,,3576.1666666666665,1.0,28.333333333333332,31.000000000000004
1447,30263,150.0,1.0,38.166666666666664,,3816.5,0.8333333333333334,28.333333333333332,9.833333333333332
1448,30263,180.0,1.0,28.333333333333332,,2693.3333333333335,0.5,28.333333333333332,0.0
1449,30264,0.0,1.0,73.8,,5524.833333333333,1.0,8.166666666666666,65.63333333333333
1450,30264,30.0,1.0,82.66666666666667,,4125.166666666667,1.0,8.166666666666666,74.5
1451,30264,60.0,1.0,73.83333333333333,,4563.666666666667,0.8333333333333334,8.166666666666666,65.66666666666666
1452,30264,90.0,1.0,59.333333333333336,,3896.0,1.0,8.166666666666666,51.16666666666667
1453,30264,120.0,1.0,26.666666666666668,,3860.0,0.6666666666666666,8.166666666666666,18.5
1454,30264,150.0,1.0,22.666666666666668,,4310.333333333333,0.5,8.166666666666666,14.500000000000002
1455,30264,180.0,1.0,8.166666666666666,,3948.8333333333335,0.3333333333333333,8.166666666666666,0.0
1456,30266,0.0,1.0,86.5,,3602.5,1.0,28.8,57.7
1457,30266,30.0,1.0,90.16666666666667,,3781.5,1.0,28.8,61.366666666666674
1458,30266,60.0,1.0,84.0,,4234.5,1.0,28.8,55.2
1459,30266,90.0,1.0,72.5,,5079.5,1.0,28.8,43.7
1460,30266,120.0,1.0,39.166666666666664,,5875.166666666667,0.3333333333333333,28.8,10.366666666666664
1461,30266,150.0,1.0,32.166666666666664,,4824.833333333333,0.6666666666666666,28.8,3.3666666666666636
1462,30266,180.0,1.0,28.8,,6831.666666666667,0.8,28.8,0.0
1463,30270,0.0,1.0,99.5,,3907.8333333333335,0.8333333333333334,31.333333333333332,68.16666666666667
1464,30270,30.0,1.0,92.16666666666667,,3759.8333333333335,1.0,31.333333333333332,60.83333333333334
1465,30270,60.0,1.0,80.33333333333333,,4539.833333333333,1.0,31.333333333333332,49.0
1466,30270,90.0,1.0,66.0,,4128.333333333333,1.0,31.333333333333332,34.66666666666667
1467,30270,120.0,1.0,27.0,,5217.0,0.6666666666666666,31.333333333333332,-4.333333333333332
1468,30270,150.0,1.0,15.0,,4843.166666666667,0.6666666666666666,31.333333333333332,-16.333333333333332
1469,30270,180.0,1.0,31.333333333333332,,5169.666666666667,0.5,31.333333333333332,0.0
1470,30273,0.0,1.0,88.16666666666667,,2443.3333333333335,1.0,50.333333333333336,37.833333333333336
1471,30273,30.0,1.0,85.2,,3805.3333333333335,1.0,50.333333333333336,34.86666666666667
1472,30273,60.0,1.0,85.5,,2698.0,0.8333333333333334,50.333333333333336,35.166666666666664
1473,30273,90.0,1.0,84.0,,3796.5,1.0,50.333333333333336,33.666666666666664
1474,30273,120.0,1.0,62.5,,2853.3333333333335,1.0,50.333333333333336,12.166666666666664
1475,30273,150.0,1.0,64.33333333333333,,3561.1666666666665,0.8333333333333334,50.333333333333336,13.999999999999993
1476,30273,180.0,1.0,50.333333333333336,,2988.1666666666665,0.16666666666666666,50.333333333333336,0.0
1477,30274,0.0,1.0,100.0,,2766.5,0.8333333333333334,22.833333333333332,77.16666666666667
1478,30274,30.0,1.0,91.5,,3248.8333333333335,0.8333333333333334,22.833333333333332,68.66666666666667
1479,30274,60.0,1.0,93.66666666666667,,2959.8333333333335,1.0,22.833333333333332,70.83333333333334
1480,30274,90.0,1.0,83.5,,3321.8333333333335,1.0,22.833333333333332,60.66666666666667
1481,30274,120.0,1.0,49.833333333333336,,2959.8333333333335,0.8333333333333334,22.833333333333332,27.000000000000004
1482,30274,150.0,1.0,22.833333333333332,,3984.8333333333335,0.8333333333333334,22.833333333333332,0.0
1483,30274,180.0,1.0,22.833333333333332,,4071.1666666666665,0.5,22.833333333333332,0.0
1484,30277,0.0,1.0,73.16666666666667,,3180.1666666666665,1.0,64.16666666666667,9.0
1485,30277,30.0,1.0,74.5,,3391.1666666666665,1.0,64.16666666666667,10.333333333333329
1486,30277,60.0,1.0,71.0,,3419.5,1.0,64.16666666666667,6.833333333333329
1487,30277,90.0,1.0,72.5,,2982.8333333333335,0.8333333333333334,64.16666666666667,8.333333333333329
1488,30277,120.0,1.0,30.333333333333332,,3284.6666666666665,0.8333333333333334,64.16666666666667,-33.83333333333334
1489,30277,150.0,1.0,20.166666666666668,,3535.3333333333335,0.3333333333333333,64.16666666666667,-44.0
1490,30277,180.0,1.0,64.16666666666667,,3119.5,1.0,64.16666666666667,0.0
1491,30278,0.0,1.0,77.16666666666667,,2138.6666666666665,1.0,29.166666666666668,48.0
1492,30278,30.0,1.0,75.0,,2085.5,1.0,29.166666666666668,45.83333333333333
1493,30278,60.0,1.0,62.833333333333336,,1816.3333333333333,0.8333333333333334,29.166666666666668,33.66666666666667
1494,30278,90.0,1.0,51.666666666666664,,2379.3333333333335,1.0,29.166666666666668,22.499999999999996
1495,30278,120.0,1.0,45.666666666666664,,2990.6666666666665,0.6666666666666666,29.166666666666668,16.499999999999996
1496,30278,150.0,1.0,30.4,,3602.8333333333335,0.6,29.166666666666668,1.2333333333333307
1497,30278,180.0,1.0,29.166666666666668,,2925.8333333333335,0.6666666666666666,29.166666666666668,0.0
1498,30279,0.0,1.0,79.66666666666667,,3223.0,1.0,16.666666666666668,63.0
1499,30279,30.0,1.0,80.66666666666667,,3453.5,1.0,16.666666666666668,64.0
1500,30279,60.0,1.0,71.66666666666667,,3526.8333333333335,1.0,16.666666666666668,55.0
1501,30279,90.0,1.0,73.16666666666667,,4251.0,1.0,16.666666666666668,56.5
1502,30279,120.0,1.0,30.166666666666668,,4013.0,0.8333333333333334,16.666666666666668,13.5
1503,30279,150.0,1.0,27.166666666666668,,3931.1666666666665,0.8333333333333334,16.666666666666668,10.5
1504,30279,180.0,1.0,16.666666666666668,,4312.0,0.5,16.666666666666668,0.0
1505,30281,0.0,1.0,87.66666666666667,,3615.5,1.0,18.833333333333332,68.83333333333334
1506,30281,30.0,1.0,81.0,,3975.3333333333335,0.8333333333333334,18.833333333333332,62.16666666666667
1507,30281,60.0,1.0,84.16666666666667,,4001.8333333333335,1.0,18.833333333333332,65.33333333333334
1508,30281,90.0,1.0,62.333333333333336,,3721.3333333333335,1.0,18.833333333333332,43.5
1509,30281,120.0,1.0,36.0,,4487.666666666667,1.0,18.833333333333332,17.166666666666668
1510,30281,150.0,1.0,13.166666666666666,,3933.8333333333335,0.5,18.833333333333332,-5.666666666666666
1511,30281,180.0,1.0,18.833333333333332,,4654.5,0.6666666666666666,18.833333333333332,0.0
1512,30282,0.0,1.0,81.66666666666667,,2229.8333333333335,1.0,51.166666666666664,30.500000000000007
1513,30282,30.0,1.0,80.83333333333333,,1965.5,1.0,51.166666666666664,29.666666666666664
1514,30282,60.0,1.0,79.66666666666667,,1940.3333333333333,1.0,51.166666666666664,28.500000000000007
1515,30282,90.0,1.0,77.0,,2207.0,1.0,51.166666666666664,25.833333333333336
1516,30282,120.0,1.0,68.83333333333333,,2268.1666666666665,1.0,51.166666666666664,17.666666666666664
1517,30282,150.0,1.0,48.333333333333336,,2080.1666666666665,0.5,51.166666666666664,-2.8333333333333286
1518,30282,180.0,1.0,51.166666666666664,,2203.6666666666665,0.8333333333333334,51.166666666666664,0.0
1519,30284,0.0,1.0,83.83333333333333,,2941.0,1.0,23.666666666666668,60.16666666666666
1520,30284,30.0,1.0,71.5,,2982.6666666666665,1.0,23.666666666666668,47.83333333333333
1521,30284,60.0,1.0,64.0,,3124.3333333333335,1.0,23.666666666666668,40.33333333333333
1522,30284,90.0,1.0,67.33333333333333,,3560.1666666666665,1.0,23.666666666666668,43.66666666666666
1523,30284,120.0,1.0,37.0,,2595.5,0.8333333333333334,23.666666666666668,13.333333333333332
1524,30284,150.0,1.0,23.666666666666668,,2858.3333333333335,1.0,23.666666666666668,0.0
1525,30284,180.0,1.0,23.666666666666668,,2420.1666666666665,0.6666666666666666,23.666666666666668,0.0
1526,30285,0.0,1.0,65.16666666666667,,3100.8333333333335,1.0,11.666666666666666,53.50000000000001
1527,30285,30.0,1.0,67.83333333333333,,3599.0,1.0,11.666666666666666,56.166666666666664
1528,30285,60.0,1.0,62.0,,3177.5,1.0,11.666666666666666,50.333333333333336
1529,30285,90.0,1.0,51.333333333333336,,4065.1666666666665,1.0,11.666666666666666,39.66666666666667
1530,30285,120.0,1.0,36.833333333333336,,3344.1666666666665,0.6666666666666666,11.666666666666666,25.16666666666667
1531,30285,150.0,1.0,18.5,,3457.0,0.3333333333333333,11.666666666666666,6.833333333333334
1532,30285,180.0,1.0,11.666666666666666,,3729.5,0.5,11.666666666666666,0.0
1533,30286,0.0,1.0,100.0,,3483.1666666666665,1.0,13.166666666666666,86.83333333333333
1534,30286,30.0,1.0,100.0,,3539.8333333333335,1.0,13.166666666666666,86.83333333333333
1535,30286,60.0,1.0,100.0,,3318.0,1.0,13.166666666666666,86.83333333333333
1536,30286,90.0,1.0,91.5,,3600.8333333333335,0.8333333333333334,13.166666666666666,78.33333333333333
1537,30286,120.0,1.0,64.16666666666667,,3789.3333333333335,1.0,13.166666666666666,51.00000000000001
1538,30286,150.0,1.0,41.0,,3629.8333333333335,0.3333333333333333,13.166666666666666,27.833333333333336
1539,30286,180.0,1.0,13.166666666666666,,3598.8333333333335,0.6666666666666666,13.166666666666666,0.0
1540,30287,0.0,1.0,82.83333333333333,,2422.8333333333335,1.0,37.666666666666664,45.166666666666664
1541,30287,30.0,1.0,75.5,,3724.8333333333335,1.0,37.666666666666664,37.833333333333336
1542,30287,60.0,1.0,74.83333333333333,,3324.5,1.0,37.666666666666664,37.166666666666664
1543,30287,90.0,1.0,71.5,,3000.1666666666665,0.8333333333333334,37.666666666666664,33.833333333333336
1544,30287,120.0,1.0,37.333333333333336,,2800.0,1.0,37.666666666666664,-0.3333333333333286
1545,30287,150.0,1.0,34.833333333333336,,4678.0,0.5,37.666666666666664,-2.8333333333333286
1546,30287,180.0,1.0,37.666666666666664,,3774.6666666666665,0.3333333333333333,37.666666666666664,0.0
1547,30288,0.0,1.0,86.16666666666667,,5321.833333333333,1.0,13.0,73.16666666666667
1548,30288,30.0,1.0,83.83333333333333,,5377.666666666667,1.0,13.0,70.83333333333333
1549,30288,60.0,1.0,86.0,,4651.166666666667,1.0,13.0,73.0
1550,30288,90.0,1.0,77.83333333333333,,5204.666666666667,1.0,13.0,64.83333333333333
1551,30288,120.0,1.0,35.833333333333336,,4785.833333333333,0.8333333333333334,13.0,22.833333333333336
1552,30288,150.0,1.0,19.5,,5160.666666666667,0.6666666666666666,13.0,6.5
1553,30288,180.0,1.0,13.0,,5730.5,0.3333333333333333,13.0,0.0
1554,30289,0.0,1.0,92.16666666666667,,3202.5,1.0,16.333333333333332,75.83333333333334
1555,30289,30.0,1.0,90.83333333333333,,2988.8333333333335,1.0,16.333333333333332,74.5
1556,30289,60.0,1.0,90.83333333333333,,3291.0,1.0,16.333333333333332,74.5
1557,30289,90.0,1.0,75.66666666666667,,2832.0,1.0,16.333333333333332,59.33333333333334
1558,30289,120.0,1.0,37.833333333333336,,3886.8333333333335,0.8333333333333334,16.333333333333332,21.500000000000004
1559,30289,150.0,1.0,21.0,,3786.6666666666665,0.6666666666666666,16.333333333333332,4.666666666666668
1560,30289,180.0,1.0,16.333333333333332,,2867.8333333333335,0.6666666666666666,16.333333333333332,0.0
1561,30290,0.0,1.0,81.83333333333333,,3198.1666666666665,0.8333333333333334,8.0,73.83333333333333
1562,30290,30.0,1.0,94.83333333333333,,3091.1666666666665,1.0,8.0,86.83333333333333
1563,30290,60.0,1.0,70.0,,3644.3333333333335,0.8333333333333334,8.0,62.0
1564,30290,90.0,1.0,38.333333333333336,,2928.3333333333335,0.8333333333333334,8.0,30.333333333333336
1565,30290,120.0,1.0,3.6666666666666665,,2466.8333333333335,0.5,8.0,-4.333333333333334
1566,30290,150.0,1.0,19.833333333333332,,3442.8333333333335,0.5,8.0,11.833333333333332
1567,30290,180.0,1.0,8.0,,2835.1666666666665,0.6666666666666666,8.0,0.0
1568,30291,0.0,1.0,93.83333333333333,,4017.0,1.0,38.833333333333336,54.99999999999999
1569,30291,30.0,1.0,94.0,,4576.333333333333,1.0,38.833333333333336,55.166666666666664
1570,30291,60.0,1.0,90.16666666666667,,3877.0,1.0,38.833333333333336,51.333333333333336
