,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180
351,84,30,100.0,3.1345,1.0,55.0,0.0,100.0
352,84,60,100.0,3.8289999999999997,1.0,32.0,0.0,100.0
353,84,90,100.0,3.6275000000000004,1.0,48.5,0.0,100.0
354,84,120,1.5,3.753,0.5,28.5,0.0,1.5
355,84,150,0.0,3.284,1.0,45.0,0.0,0.0
356,84,180,0.0,3.5575,0.0,36.0,0.0,0.0
357,85,0,100.0,2.361,1.0,41.5,0.0,100.0
358,85,30,100.0,2.3434999999999997,1.0,33.0,0.0,100.0
359,85,60,100.0,2.1775,1.0,66.0,0.0,100.0
360,85,90,64.0,2.4615,1.0,37.5,0.0,64.0
361,85,120,0.0,2.1155,1.0,46.5,0.0,0.0
362,85,150,0.0,2.2435,0.5,32.0,0.0,0.0
363,85,180,0.0,2.1639999999999997,0.5,35.0,0.0,0.0
364,86,0,82.5,2.6555,1.0,47.0,16.5,66.0
365,86,30,78.0,2.4815,1.0,29.0,16.5,61.5
366,86,60,74.5,2.5225,1.0,23.0,16.5,58.0
367,86,90,60.0,2.5205,1.0,60.0,16.5,43.5
368,86,120,28.5,2.683,1.0,53.0,16.5,12.0
369,86,150,15.5,2.7145,1.0,48.5,16.5,-1.0
370,86,180,16.5,2.6355,1.0,40.0,16.5,0.0
371,87,0,78.0,2.5915,1.0,43.5,46.0,32.0
372,87,30,79.5,2.635,1.0,21.5,46.0,33.5
373,87,60,74.0,2.5869999999999997,1.0,39.5,46.0,28.0
374,87,90,65.0,2.5220000000000002,1.0,50.0,46.0,19.0
375,87,120,59.5,2.6265,1.0,48.0,46.0,13.5
376,87,150,44.0,2.894,1.0,43.5,46.0,-2.0
377,87,180,46.0,2.576,1.0,46.5,46.0,0.0
378,89,0,97.5,5.143,1.0,35.0,0.0,97.5
379,89,30,96.0,5.9719999999999995,1.0,41.0,0.0,96.0
380,89,60,80.0,6.6135,1.0,44.5,0.0,80.0
381,89,90,43.0,7.2385,1.0,30.5,0.0,43.0
382,89,120,12.5,5.741,0.5,42.0,0.0,12.5
383,89,150,10.5,5.5485,1.0,52.0,0.0,10.5
384,89,180,0.0,4.9375,1.0,42.5,0.0,0.0
