,stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
60,4a6f7598-dc16-47d6-987e-a48c1f938428,wander,180,grey,0.0,black,2.735,0,1,60,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
61,8d9b8961-4fb1-4413-b875-966e01b9963a,chase,60,black,68.0,black,4.082,1,1,61,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
62,7bee52f4-919b-4633-b742-a0181f5f7f01,wander,180,grey,27.0,grey,4.133,1,1,62,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
63,9093ecfa-6a76-4110-b88c-dd9330281781,chase,30,grey,89.0,grey,2.146,1,1,63,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
64,27771508-6d61-4618-83ca-4bc020efddfe,wander,180,grey,0.0,black,2.225,0,1,64,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
65,53613c0d-b07e-4b22-b6ec-56dda26edc8f,chase,0,grey,85.0,grey,2.681,1,1,65,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
66,7d6cad69-203a-49a4-9c6e-b0423a669e50,chase,90,grey,58.0,grey,3.034,1,1,66,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
67,22162d51-e2bc-4fd2-af29-7d21f36eca1d,chase,90,black,56.0,black,3.343,1,1,67,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
68,10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,grey,11.0,black,3.315,0,1,68,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
69,1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,black,13.0,black,2.57,1,1,69,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
70,c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,grey,67.0,grey,2.645,1,1,70,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
71,a4bd654a-f8f1-44b4-907f-0114e1caa391,chase,30,black,94.0,black,2.514,1,1,71,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
72,249089b6-ef6d-4ddb-973d-6d7b9d53baf8,chase,60,black,100.0,black,2.881,1,1,72,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
73,42ffed3d-edac-4ca7-9b33-6f525cb7c364,chase,90,black,100.0,black,5.29,1,1,73,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
74,0ea51ff3-f8ac-4d29-a981-0a167d74909c,chase,30,black,100.0,black,2.113,1,1,74,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
75,70f615a0-31d5-42b9-a44b-f5746c0b41a8,wander,180,black,16.0,black,3.395,1,1,75,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
76,69cbd581-b3e6-4aa9-8cc0-319380d1e9ce,chase,30,black,100.0,black,2.331,1,1,76,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
77,c6499c88-e947-4ab5-8cde-3013da4d084f,chase,30,grey,90.0,grey,3.264,1,1,77,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
78,17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,black,99.0,black,3.483,1,1,78,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
79,1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,grey,45.0,grey,4.55,1,1,79,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
80,a68cb7dc-2812-45a9-b8f6-862ff43630fb,chase,120,grey,21.0,grey,5.149,1,1,80,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
81,cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,black,85.0,black,2.546,1,1,81,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
82,124f53c2-90c6-4716-8221-e86088f8d257,wander,180,grey,27.0,grey,2.713,1,1,82,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
