subID,r_squared,nrmse,center,sigma,bias_lower,bias_upper,center_y,obj_center,bias_xmin,bias_xmax,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
18.0,0.9871876264150384,0.0488860903177657,0.4326464992908264,0.1101507044441407,0.2283333333333333,0.1825,0.5229166666666667,0.4154737848539171,0.2397086301701465,0.185894743065925,10.0,14.0,7.0,7.0,6.0,16.0,2.0,22.0,39.0,33.0,43.0,45.0,25.0,3.0,0.053813887104221525,0.5743966267639284
19.0,0.9766067508894986,0.0585134419916922,0.4193698124641021,0.1267722480401262,0.1133333333333333,0.0433333333333333,0.535,0.3982760849703762,0.143099476050613,0.0518929537051555,8.0,15.0,6.0,21.0,6.0,27.0,3.0,22.0,35.0,49.0,47.0,43.0,30.0,4.0,0.09120652234545748,0.8050075702442315
20.0,0.9779265813250936,0.0593504009532307,0.4870885207442541,0.1265042159505261,0.28,0.1524999999999999,0.56375,0.4292587479672388,0.2918202981536469,0.1621749903153154,15.0,21.0,8.0,16.0,10.0,30.0,14.0,31.0,43.0,49.0,47.0,58.0,52.0,5.0,0.1296453078383315,0.5460047115310378
21.0,0.9700584354617754,0.0735505415704775,0.4546195793493156,0.1018266110221838,0.1775,0.0241666666666666,0.5766666666666667,0.4150126408133848,0.1865833134243311,0.0279170047853916,5.0,8.0,5.0,11.0,4.0,26.0,0.0,18.0,42.0,43.0,51.0,47.0,23.0,4.0,0.1586663086389395,0.7854996817902773
25.0,0.999496766518303,0.0092539723407558,0.2503879292381902,0.0582139712771127,0.1716666666666667,0.0216666666666667,0.575,0.2284832642025175,0.1824530357989194,0.0216687289668064,25.0,16.0,7.0,18.0,12.0,19.0,1.0,20.0,23.0,50.0,32.0,40.0,64.0,0.0,0.16078430683211298,0.7958782352342743
26.0,0.9930472883215836,0.0352720764836465,0.3836805998708735,0.0860916782971537,0.1018181818181818,0.0174999999999999,0.542159090909091,0.3671447826617497,0.1119179312803493,0.0181845768764902,20.0,18.0,12.0,11.0,7.0,22.0,15.0,35.0,26.0,33.0,45.0,59.0,31.0,1.0,0.0937333544038591,0.8698974918431605
27.0,0.9749273210850488,0.0736202864325018,0.3730254026307977,0.0632638557488947,0.1136363636363636,0.0208333333333332,0.5464015151515151,0.359406624359363,0.1160095975034083,0.0208763065553702,24.0,21.0,16.0,13.0,11.0,16.0,10.0,44.0,20.0,37.0,33.0,45.0,71.0,0.0,0.0951332909480381,0.8631140959412215
28.0,0.9888687579001232,0.0427190323058827,0.3948705219222664,0.0769341812118798,0.2345454545454545,0.0875,0.5735227272727272,0.3609585054409823,0.2385228228889166,0.0877600578429609,20.0,19.0,15.0,16.0,16.0,23.0,3.0,41.0,33.81818181818182,37.0,40.0,41.0,53.0,2.0,0.1507627650459557,0.6737171192681225
29.0,0.9756398390894878,0.0652198506647534,0.4136879172669901,0.0827435733929958,0.0433333333333333,0.0391666666666666,0.5020833333333333,0.4129363810070023,0.0494762322467209,0.0399338138522856,20.0,20.0,12.0,20.0,14.0,24.0,14.0,38.0,33.0,44.0,43.0,43.0,39.0,1.0,0.0095424183944353,0.9105899539009935
31.0,0.8720681361210805,0.1214283691534662,0.3764484792486416,0.163751246056081,0.2125,0.1274999999999999,0.5425,0.3340345849233638,0.2727010611908164,0.1418301970161664,19.0,17.0,22.0,25.0,18.0,6.0,10.0,46.0,31.0,35.0,37.0,42.0,64.0,5.0,0.13087086417465,0.5854687417930172
