stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
961ceaa3-bae4-42e6-9900-d61b3f7d2b6a,mimic,120,black,0.0,black,3.781,1,230,5
72e764e1-0b34-4efd-96db-5df7934b2395,chase,0,grey,100.0,grey,3.274,1,230,6
cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,black,100.0,black,3.483,1,230,7
53613c0d-b07e-4b22-b6ec-56dda26edc8f,chase,0,grey,100.0,grey,3.186,1,230,8
9e873205-feb6-41c9-980d-930f2850eaef,mimic,150,black,0.0,grey,4.009,0,230,9
1046d4b0-4bd4-4ae8-a4f2-949e08b5aa4a,mimic,0,grey,0.0,black,3.947,0,230,10
908170e2-ae62-4685-8bcd-9089e16e95f2,mimic,90,grey,55.0,grey,3.198,1,230,11
ff27abe6-51d5-45ca-9b97-247bc5079e60,mimic,120,grey,0.0,black,3.708,0,230,12
275adee0-f228-423e-816a-e5e70b874bf3,chase,150,grey,0.0,grey,4.533,1,230,13
9093ecfa-6a76-4110-b88c-dd9330281781,chase,30,grey,100.0,grey,3.604,1,230,14
c188e383-94d7-475e-9da5-6d1f0a1184bb,chase,0,black,100.0,black,3.073,1,230,15
16088d09-c11d-4b03-8c77-f92a33554c1e,chase,90,black,77.0,black,3.814,1,230,16
65ae3786-93f4-4878-bcfe-7cee118774dc,mimic,0,black,1.0,black,4.431,1,230,17
1d4805c2-68cf-415b-af2f-f7c0564b59aa,chase,90,black,55.0,black,2.929,1,230,18
d23dc934-a2e5-4952-b5f2-7acd20fccd30,mimic,30,black,0.0,grey,4.183,0,230,19
9ae052c1-4a6c-41ec-a1d2-e991b9c454c8,mimic,90,black,0.0,black,3.884,1,230,20
2cf66fb7-ab1d-466b-be40-d9f856dc213f,wander,180,grey,0.0,grey,3.683,1,230,21
75182d69-6502-4d35-9298-e331061c7829,chase,0,grey,100.0,grey,4.202,1,230,22
18487641-212a-4e1e-8730-31709d721382,chase,150,grey,0.0,black,4.787,0,230,23
85aa46c9-fe72-469c-a4cd-96f72ab4ccba,chase,60,black,100.0,black,3.398,1,230,24
4a6f7598-dc16-47d6-987e-a48c1f938428,wander,180,grey,0.0,grey,4.351,1,230,25
4bc5af99-ede5-49ec-a929-d4fc6fae9b43,wander,180,black,0.0,grey,3.526,0,230,26
49e5ac90-6e7f-4243-9552-8c4c10545895,chase,0,black,100.0,black,3.4,1,230,27
06f1dd04-cfbc-433c-9833-32cdb01c0683,chase,90,grey,24.0,grey,4.631,1,230,28
4d01a600-7cc9-4842-a764-7e542e49b2ff,mimic,30,grey,22.0,black,3.09,0,230,29
8cfd37b4-08d1-4e73-97c4-bd994a4110f9,mimic,60,grey,0.0,grey,3.685,1,230,30
68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,grey,7.0,black,3.799,0,230,31
0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,chase,30,grey,100.0,grey,3.372,1,230,32
b7261f19-79df-4505-b935-0cb890ebda9c,chase,120,grey,3.0,grey,3.851,1,230,33
4f077c82-959e-43e6-9381-8f6126e6ff29,mimic,60,black,0.0,black,3.798,1,230,34
2176e0c4-bf6c-4f4a-a64b-23825205a150,wander,180,grey,23.0,black,4.418,0,230,35
4e280da8-2f53-4fdf-81ca-f8372b757f6e,mimic,90,black,0.0,grey,3.579,0,230,36
01f19557-63b1-449b-9a8f-a53ade764686,mimic,30,black,0.0,black,5.52,1,230,37
7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,grey,100.0,grey,3.746,1,230,38
5de53504-97fe-436b-ba5c-5bfff70f79fe,mimic,0,black,0.0,black,3.442,1,230,39
42ffed3d-edac-4ca7-9b33-6f525cb7c364,chase,90,black,100.0,black,3.141,1,230,40
a0f0c207-c5ff-40e5-a612-66cc47e3aca2,mimic,0,black,67.0,grey,4.186,0,230,41
12a3cd27-040f-4199-9edb-5cd4bb71b3d0,wander,180,black,0.0,grey,3.357,0,230,42
6480385b-e9eb-45a9-88e3-aade6c90476d,chase,120,black,21.0,black,4.653,1,230,43
00efb6ff-56f7-4917-9518-d8ff1ed4d352,mimic,0,grey,0.0,grey,3.158,1,230,44
286e3344-db14-477e-ad2f-4aaa462d29bf,mimic,60,grey,0.0,grey,4.327,1,230,45
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,black,0.0,black,3.336,1,230,46
ed0ef852-3813-4796-8ef5-3a8bbef06e1b,mimic,30,grey,0.0,grey,3.125,1,230,47
c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,grey,80.0,grey,3.116,1,230,48
0a730462-ba50-4dbe-97c6-911f61a40346,chase,30,grey,100.0,grey,3.18,1,230,49
249089b6-ef6d-4ddb-973d-6d7b9d53baf8,chase,60,black,100.0,black,3.415,1,230,50
10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,grey,19.0,grey,3.954,1,230,51
7bed8e1f-5a90-4a6d-a34e-009727a27581,mimic,150,grey,0.0,grey,4.469,1,230,52
55f379fa-f719-4bdf-85a4-a15f0d03283d,mimic,150,grey,0.0,black,3.793,0,230,53
36abe6b0-5185-4dad-8201-c13c1fa8a4ac,mimic,90,grey,64.0,grey,3.065,1,230,54
bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,chase,0,black,100.0,black,3.011,1,230,55
8a3a6cd1-3183-4bfd-8414-818cba62218a,mimic,30,black,0.0,grey,2.844,0,230,56
b04bf045-4291-437c-b53e-6d779af76038,mimic,90,black,55.0,grey,3.791,0,230,57
1d35e834-4947-46b2-9cbd-816ea4587c6f,wander,180,grey,0.0,grey,3.512,1,230,58
0ea51ff3-f8ac-4d29-a981-0a167d74909c,chase,30,black,100.0,black,3.539,1,230,59
7e4763cb-3bf2-48e1-a717-5314c5f41fa6,mimic,90,grey,0.0,grey,4.198,1,230,60
3587071e-4537-406c-83f0-d8803f077fd2,mimic,60,black,53.0,grey,2.638,0,230,61
804f9681-f112-463c-a764-a40a823d6845,chase,60,black,100.0,black,3.352,1,230,62
1c695094-312c-450a-ac7f-f994dabb958d,wander,180,black,0.0,black,4.484,1,230,63
5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,wander,180,black,0.0,black,3.685,1,230,64
5d03f888-af19-414e-95d1-aa95f64cd8b1,mimic,30,grey,0.0,grey,4.187,1,230,65
a5b2d14e-7379-437b-b4ce-1fc499a5afa1,mimic,120,black,0.0,black,3.599,1,230,66
987cd79f-7d6a-426b-8983-8bee8675f0ba,chase,120,black,58.0,black,2.791,1,230,67
24c2e50f-6cd9-4181-bf15-db2e7239f3c3,mimic,150,grey,0.0,grey,3.264,1,230,68
3a6f58b9-a472-480a-a6fb-8d825894f11a,mimic,0,grey,0.0,grey,4.427,1,230,69
