,subID,stimset_rows,subtlety,directness,responses,movie,trial_num,similarity_chasing,similarity_moveInd,similarity_chase_moveInd
6,15026,27,150,0.17,The two dots seemed to be moving randomly and sepparatetly to each other within their own areas. they each had a different speed and pace.,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,6,0.20696501433849335,0.25485679507255554,-0.047891780734062195
5,15027,35,150,0.17,"The dots moved around their zones, but wandered into each other after some time.",9c46112a-3307-42b7-8386-bdf38ba679af,5,0.19242408871650696,0.10850777477025986,0.0839163139462471
4,15028,30,150,0.17,Now the grey one is sort of chasing the black one. Once again it looks like some wary defense is coming from the black dot as it stands on guard trying to anticipate the grey dot's moves.,99fed5db-be9d-4d5f-8fef-1baaad5f1b70,4,0.3119770288467407,0.07052615284919739,0.24145087599754333
0,15029,29,150,0.17,"the gray dot did a circle and then went down and up in a right hook shape, the black dot moved a little to the left and right bouncing slightly up and down as it was moving. the grey dot was on the left side and the black dot was on the right side.",14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,0,0.1280674934387207,0.1145981177687645,0.013469375669956207
3,15030,40,150,0.17,getting closer to each other,5744f837-93bf-4eba-bddf-e630dedf974e,3,0.2910720705986023,0.31809380650520325,-0.027021735906600952
4,15031,41,150,0.17,grey dot staying in same area black dot more free,18487641-212a-4e1e-8730-31709d721382,4,0.07666704803705215,0.1403348594903946,-0.06366781145334244
4,15032,39,150,0.17,Both dots making seperate random movements,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,4,0.20862534642219543,0.32795488834381104,-0.1193295419216156
1,15033,45,150,0.17,The grey dot was moving towards the black dot but getting lost on the way,99fed5db-be9d-4d5f-8fef-1baaad5f1b70,1,0.24490749835968018,0.2231162041425705,0.02179129421710968
1,15034,43,150,0.17,"Both dots moving downwards slowly, with the grey dot hovering closer towards the black dot",9c46112a-3307-42b7-8386-bdf38ba679af,1,0.12234566360712051,0.18293310701847076,-0.06058744341135025
4,15035,44,150,0.17,"The grey dot moved toward the bottom-right corner and then moved in a small circle, while the black dot made seemingly random movements and remained in largely the same area of the field",7e113c5d-92b4-4c01-9588-dae0fb76eb5f,4,0.13713303208351135,0.15927989780902863,-0.022146865725517273
2,15036,42,150,0.17,The grey one was moving fast and the black one couldn't make up it's mind.,4cd79935-2124-4c73-9bff-ce0554f08119,2,0.17521628737449646,0.22448880970478058,-0.04927252233028412
2,15037,46,150,0.17,The light grey was repelling the black,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,2,0.18574737012386322,0.07553614675998688,0.11021122336387634
2,15038,48,150,0.17,the grey dot is hovering around while the black dot is descending,99fed5db-be9d-4d5f-8fef-1baaad5f1b70,2,0.13348792493343353,0.08844037353992462,0.04504755139350891
4,15039,47,150,0.17,"Both dots appeared to be moving randomly, with no pattern or obvious trajectory and without recognition of each other",4270e833-4dad-483f-85cb-3dee1fccc571,4,0.1996443122625351,0.25689697265625,-0.057252660393714905
5,15040,51,150,0.17,"Black one moving rigidly, grey one floating",1247c2a3-9c1a-478d-ad2b-6640715d76a4,5,0.11069157719612122,0.2728956639766693,-0.1622040867805481
3,15041,52,150,0.17,Black dot was trying to get round grey dot,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,3,0.2266874611377716,-0.021553879603743553,0.24824134074151516
5,15042,53,150,0.17,getting closer together whilst rotating anti clockwise,10a07293-2c74-4b8a-bbef-b0f436cde5fb,5,0.03346041962504387,0.29786646366119385,-0.26440604403615
2,15043,56,150,0.17,Dots were not related to eachothers movements,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,2,0.1706530749797821,0.268879234790802,-0.0982261598110199
1,15044,54,150,0.17,black and grey are unrelated and black is moving down,18487641-212a-4e1e-8730-31709d721382,1,0.12645618617534637,0.2942861020565033,-0.16782991588115692
2,15045,50,150,0.17,The black dot appeared to be stalknig the grey dot from a distance before losing interest,4cd79935-2124-4c73-9bff-ce0554f08119,2,0.2532850205898285,0.0420614629983902,0.2112235575914383
2,15046,57,150,0.17,they were moving slightly to left of screen,4270e833-4dad-483f-85cb-3dee1fccc571,2,0.13135556876659393,0.28434982895851135,-0.15299426019191742
5,15047,61,150,0.17,"Dots were moving almost in sync, ",7e113c5d-92b4-4c01-9588-dae0fb76eb5f,5,0.25442761182785034,0.2390683889389038,0.015359222888946533
3,15048,60,150,0.17,Black dot was following a predetermined path (spelling something about) grey was moving around randomly,10a07293-2c74-4b8a-bbef-b0f436cde5fb,3,0.29995617270469666,0.21455711126327515,0.08539906144142151
5,15049,58,150,0.17,"Grey drew a pattern on the left side of the box while black did similar on the right. Both were going down as they made their pattern. Greys was a bit more dynamic, with some circling and quick up/downs at one point.",9c46112a-3307-42b7-8386-bdf38ba679af,5,0.0547277070581913,0.004403464496135712,0.05032424256205559
6,15050,62,150,0.17,"They appeared to be 'doing their own thing' and not be impacted by each other until they got very close, then avoiding action was taken",18487641-212a-4e1e-8730-31709d721382,6,0.1748252511024475,0.23390242457389832,-0.059077173471450806
