ParticipantID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20,total,total_nanMean,total_numMissResp,total_reweigh
30118,2.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,42.0,2.1578947368421053,0,42.0
30119,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,51.0,2.5789473684210527,0,51.0
30120,3.0,3.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,1.0,53.0,2.736842105263158,0,53.0
30121,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,28.0,1.4210526315789473,0,28.0
30123,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,32.0,1.631578947368421,0,32.0
30124,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,69.0,3.4210526315789473,0,69.0
30127,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,55.0,2.789473684210526,0,55.0
30128,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,60.0,3.0,0,60.0
30129,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,58.0,2.9473684210526314,0,58.0
30130,1.0,3.0,3.0,2.0,2.0,2.0,,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,45.0,2.3333333333333335,1,47.5
30131,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,34.0,1.736842105263158,0,34.0
30133,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,36.0,1.8421052631578947,0,36.0
30134,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,71.0,3.526315789473684,0,71.0
30135,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,46.0,2.3684210526315788,0,46.0
30136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,25.0,1.263157894736842,0,25.0
30138,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,32.0,1.5789473684210527,0,32.0
30139,2.0,2.0,3.0,3.0,,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,52.0,2.7777777777777777,1,54.888888888888886
30140,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,40.0,2.0526315789473686,0,40.0
30142,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,59.0,2.9473684210526314,0,59.0
30143,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,34.0,1.736842105263158,0,34.0
30144,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,55.0,2.789473684210526,0,55.0
30145,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,61.0,3.0526315789473686,0,61.0
30147,2.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,32.0,1.631578947368421,0,32.0
30148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,25.0,1.263157894736842,0,25.0
30149,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,31.0,1.5789473684210527,0,31.0
30150,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,53.0,2.6842105263157894,0,53.0
30151,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,61.0,3.1052631578947367,0,61.0
30152,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,32.0,1.631578947368421,0,32.0
30153,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,42.0,2.1052631578947367,0,42.0
30156,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,47.0,2.4210526315789473,0,47.0
30157,2.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,41.0,2.0526315789473686,0,41.0
30158,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,47.0,2.3684210526315788,0,47.0
30160,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,74.0,3.6842105263157894,0,74.0
30161,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,46.0,2.3157894736842106,0,46.0
30162,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,77.0,3.8421052631578947,0,77.0
30163,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,68.0,3.4210526315789473,0,68.0
30164,2.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,42.0,2.1578947368421053,0,42.0
30165,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,35.0,1.7894736842105263,0,35.0
30166,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,37.0,1.894736842105263,0,37.0
30169,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,57.0,2.8947368421052633,0,57.0
30170,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,55.0,2.736842105263158,0,55.0
30171,2.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,40.0,2.0526315789473686,0,40.0
30172,2.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,41.0,2.1052631578947367,0,41.0
30173,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,57.0,2.8947368421052633,0,57.0
