,index,sub_ind,PID,month,date,stimset_rows,total_trials,nplanned_trialIDs,npresented_trialIDs,planned_trialIDs_all,presented_trialIDs_all,chargeSpeed,stim_dur,chargeSpeed_sorted,agent1_color,responses,agents_type,strategy,feedback
52,52,28052,66a89a828b7f5400969ab6e6,8,8,6,48,7,7,"['1b1159fc-de2b-4ae5-a736-d98d8524a366', '4a2adf87-0f15-4bc0-9837-899addfb179c', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '9ed3a785-369e-4eb1-b5ca-50d2602a44d4', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', 'a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '9301277e-6b35-4aa7-bd52-4f56ae0f029b']","['a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '1b1159fc-de2b-4ae5-a736-d98d8524a366', '4a2adf87-0f15-4bc0-9837-899addfb179c', '9301277e-6b35-4aa7-bd52-4f56ae0f029b', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '9ed3a785-369e-4eb1-b5ca-50d2602a44d4']","[7.75, 1.5, 2.75, 9.0, 4.0, 6.5, 5.25]","[8038, 8374, 8230, 8443, 8462, 8271, 8556]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'black', 'black', 'grey', 'grey']","['the two comes from far and hit one another and go back to roam a little', 'i dont know', 'the dots moves and come back to meet ', 'i dont know', 'i dont know', 'the two dots are hitting one another', 'i dont know']",animals,no,hoping to play more
53,53,28053,66633925d3ffa96c06e11b7f,8,8,3,48,7,7,"['15dfbaca-4429-4c18-90f4-8d4804129e6f', '8dc79a0d-b826-4ac2-8483-04346b06960d', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","['187f8493-9a30-43cc-a2bd-5d96f6d2263d', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '8dc79a0d-b826-4ac2-8483-04346b06960d', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '15dfbaca-4429-4c18-90f4-8d4804129e6f', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","[6.5, 5.25, 4.0, 2.75, 7.75, 1.5, 9.0]","[8001, 8131, 7931, 8035, 7993, 8002, 8020]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'grey', 'black', 'grey']","['Attacking', 'Colliding ', 'Colliding into each other purposefully ', 'Slow collisions', 'Aggressive collisions ', 'Very soft collisions ', 'Aggressive collisions instigated by black dot ']",adults,"I tried to keep an eye on both dots, trying to see how aggressive one/both are or how soft they are. Also was looking at the impact of collisions, how soft or hard they were. ",I don't have any feedback. 
54,54,28054,666c50576894ee3e6696af53,8,8,8,48,7,7,"['9d425f58-501f-43f3-955e-05126bd09bb5', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb']","['39d4c0f1-9195-4761-98c6-457bad8a2291', '9d425f58-501f-43f3-955e-05126bd09bb5', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9']","[5.25, 1.5, 2.75, 6.5, 7.75, 9.0, 4.0]","[7982, 8092, 8029, 8058, 7879, 8107, 8070]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'grey', 'black', 'grey', 'grey']","['ai', '2 ', 'short', '8', '4', 'black', 'l']",children,no i dont,no its fine
55,55,28055,66a0fbfd52a85e69af5dd200,8,8,2,48,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', 'c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '70326c05-1133-4c5d-8a4c-3e71e0da8479', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '93e661c0-3f68-4205-9141-04164911b7e4', '3dbdd697-e200-4003-92f8-47202577ad0a', '7d40f846-95bc-4c08-b7a1-b4a410852b77']","['c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '70326c05-1133-4c5d-8a4c-3e71e0da8479', '8ed7c0fc-1490-4e35-a000-7f7357a0772a', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '7d40f846-95bc-4c08-b7a1-b4a410852b77', '3dbdd697-e200-4003-92f8-47202577ad0a', '93e661c0-3f68-4205-9141-04164911b7e4']","[2.75, 4.0, 1.5, 5.25, 9.0, 7.75, 6.5]","[8226, 8253, 8323, 8233, 8260, 8313, 8286]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'black', 'grey']","['collided together twice', 'slowly collided twice', 'both went up and slowly collided twice', 'the grey dot quickly hits the black', 'they both went for the collision twice', 'both moving back to gain momentum as they collide', 'The black dot is pushing to hit the grey']",animals,"Not atall, i just paid close attention in other to understand what was happening between the dots",It was quite fun 
56,56,28056,668967d109ea0b87ff9b6765,8,8,4,48,7,7,"['fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '42a6675b-868f-488d-a671-17a04c97ab01', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '5456278f-d454-4194-af69-2784112cffb9', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['9cf1ba8f-113d-408d-831d-4cf31ca51b3b', 'fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '5456278f-d454-4194-af69-2784112cffb9', '42a6675b-868f-488d-a671-17a04c97ab01', 'abb20336-74c4-448b-a5f7-252c765a55f4', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', '9f53cd68-f278-45d6-806a-74eeef55bbcc']","[5.25, 1.5, 6.5, 2.75, 9.0, 7.75, 4.0]","[8040, 8298, 8164, 8187, 8167, 8005, 8176]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'grey', 'grey']","['collide', 'meet', 'They charged at each other', 'Dancing around', 'The white dot attacked the black dot.', 'The black dot is repressed', 'The white dot attacked the black dot.']",animals,I imagined the dots to be two animals.,I would like to know the aim of the research. I am only guessing it to be about human perception.
57,57,28057,5d76ac914c93440001c03fd7,8,8,14,48,7,7,"['81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', 'c496efe1-6c3e-480d-856f-af132dbe7048', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed', '2c174300-1111-477c-b605-e34e6031cd26', '981d9d90-47c5-4443-a939-26060914c7e4', '16718611-6bca-4e79-8071-94d68c181ba1']","['2c174300-1111-477c-b605-e34e6031cd26', '16718611-6bca-4e79-8071-94d68c181ba1', '981d9d90-47c5-4443-a939-26060914c7e4', '1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed', '81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', 'c496efe1-6c3e-480d-856f-af132dbe7048', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6']","[6.5, 9.0, 7.75, 5.25, 1.5, 2.75, 4.0]","[7959, 8061, 7290, 8026, 7939, 8023, 7974]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'grey', 'black', 'black', 'grey']","['collided', 'collided', 'collided', 'collided', 'skimmed', 'collided', 'collided']",magnets,Closely monitored the movements in each round,None
58,58,28058,667ac4dcd237965bb30cb0d0,8,8,13,48,7,7,"['1a8cf3c1-690b-449c-bb36-fd3b251837c1', '0bad25fa-4a38-4561-9d35-56f1108797cd', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '8b590505-e40d-4ff8-802d-5430cc2802b6', '6a57f963-5846-4eaa-a5d2-0e658499a4a9']","['7413c064-c0e5-4104-89aa-79d64ef9d6d9', '8b590505-e40d-4ff8-802d-5430cc2802b6', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '1a8cf3c1-690b-449c-bb36-fd3b251837c1', '0bad25fa-4a38-4561-9d35-56f1108797cd', '6a57f963-5846-4eaa-a5d2-0e658499a4a9', '27f4d7f8-d998-48b2-a3e4-f885f21c713d']","[4.0, 7.75, 6.5, 1.5, 2.75, 9.0, 5.25]","[11233, 9749, 12264, 9762, 9982, 9886, 10128]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'grey', 'black', 'grey', 'grey']","['two dots moving separately then colliding and move separate apart again', 'two dots moving and colliding with a faster speed ', 'the two dots seems like they are playing, colliding then moving apart', 'the two dots seems to be having an affair', 'the two dots are having a friendly conversation', 'the two dots seem to be fighting', 'the black dot seem to be the one causing an issue in this case']",animals,no,nil
59,59,28059,66520f31e4b5df0b6b365ed3,8,8,80,48,7,7,"['d3cc8306-21ab-4f88-ae4f-3970e4cd53ea', 'c496efe1-6c3e-480d-856f-af132dbe7048', '114b2369-dce5-4979-8319-c64c85175e6a', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '40860eea-1c44-4896-96b1-ee2d42a6c522', '65eed33d-db39-4b87-b8a4-de20693d3821', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['9f7e489f-4076-4332-b57e-13a42d4c75fd', '40860eea-1c44-4896-96b1-ee2d42a6c522', 'd3cc8306-21ab-4f88-ae4f-3970e4cd53ea', 'c496efe1-6c3e-480d-856f-af132dbe7048', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '65eed33d-db39-4b87-b8a4-de20693d3821', '114b2369-dce5-4979-8319-c64c85175e6a']","[9.0, 6.5, 1.5, 2.75, 5.25, 7.75, 4.0]","[7964, 8031, 8095, 8081, 8040, 7894, 8123]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'black', 'grey', 'black', 'grey']","['They each rotated in a small circle and then hit each other and than they moved apart and hit each other again.', 'They both moved towards the left side of the box moving in a squigly motion and than hit each twice and what I mean by that is sped towards each other and crashed into each other similar to what you would think of it looks like if two cars are playing the game chicken against each other.', 'The dots each moved in a slow circular motion and then hit each other twice but this time they moved slowly toward each other and seemed to bounce off each other when they made contact.', 'Thes dots moved slowly towards the bottom of the square and then moved toward each other and hit each other making contact twice traveling at a slow speed each time.', 'The dots were a little towards the left side of the box and moved slightly in a upward motion before moving towards each other to make contact twice. This time they moved faster than previously. They did not move lighting fast, but they did not move slowly either.', 'The dots moved from the center of the square upward at an average speed but this time when they moved to go towards each other and hit each other they moved fast almost like two magnets drawing themselves to each other.', 'The dots were floating in the center of the box and they moved slowly away from each other before heading towards each other to make contact. After making contact the first time they moved slowly toward the top of the box and away from each other before moving towards each other to make contact the second time.']",magnets,"I took note of where in the square the dots were, how fat they moved and how many times they made contact with each other.",I really enjoyed this task and hope to participate in more studies such as this one. I put a lot of effort into this study and I hope my data and feedback will be useful to you. When I first stared the study I lost my internet connection right before I started the experiment and was worried I would run out of time because it took me several minutes to get the internt back up. I was really glad I lot the connection before I started the experiment though so that it wasn't interupted and I was able to put my full attention to the experiment at all times once it started. 
60,60,28060,65983c0f2ea18792568bc3bc,8,8,19,48,7,7,"['0e704828-9ccd-480e-8056-3a2a8158df0f', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '35ae5b09-f580-4922-91bd-f22c23175a47', 'e2c787c5-5358-4a21-bb35-c422b37ef982', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56']","['a0007ede-8266-4a38-bf86-2a3e66d5d5d4', 'e2c787c5-5358-4a21-bb35-c422b37ef982', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', '35ae5b09-f580-4922-91bd-f22c23175a47', '0e704828-9ccd-480e-8056-3a2a8158df0f', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56']","[4.0, 6.5, 2.75, 5.25, 1.5, 7.75, 9.0]","[8013, 8058, 8182, 8045, 8103, 8033, 8085]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'grey', 'black', 'black', 'grey', 'black']","['bounced off each other', 'bounced off each other twice', 'bounced off each other twice', 'bounced off each other twice', 'slowly came together twice', 'quickly bounced off each other twice', 'quickly bounced off each other twice']",magnets,counting the number of times they touched,no
61,61,28061,5e67fe18d9ea830a49772a67,8,8,19,48,7,7,"['0e704828-9ccd-480e-8056-3a2a8158df0f', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '35ae5b09-f580-4922-91bd-f22c23175a47', 'e2c787c5-5358-4a21-bb35-c422b37ef982', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56']","['0e704828-9ccd-480e-8056-3a2a8158df0f', '35ae5b09-f580-4922-91bd-f22c23175a47', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', 'e2c787c5-5358-4a21-bb35-c422b37ef982', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f']","[1.5, 5.25, 9.0, 4.0, 2.75, 6.5, 7.75]","[8046, 8062, 8071, 8061, 8055, 7952, 7993]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'black', 'grey', 'grey', 'grey', 'grey']","['collided', 'collided quickly and bounced off', 'Rammed into each other', 'Bumped into each other', 'Slowly hit each other', 'Intersected quickly', 'Rammed into each other']",animals,No,No
62,62,28062,666db47c26bc80222f8b15ba,8,8,27,48,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '7f445daf-d952-4bf3-b733-def683994895', '2abe0875-f8ff-4373-aad8-bca142211a09']","['8ed7c0fc-1490-4e35-a000-7f7357a0772a', '7f445daf-d952-4bf3-b733-def683994895', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '2abe0875-f8ff-4373-aad8-bca142211a09', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '27f4d7f8-d998-48b2-a3e4-f885f21c713d']","[1.5, 7.75, 6.5, 9.0, 2.75, 4.0, 5.25]","[7999, 8048, 7879, 8059, 8045, 7957, 8008]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'grey', 'grey']","['bumps', 'collisions', 'attacks', 'fight', 'bumps', 'collisions', 'collisions']",children,no,none
63,63,28063,66ad1251a9e7631c19d03993,8,8,16,48,7,7,"['e4bc0778-6eb7-4065-bf77-a9b6e293735f', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '48fe3ca9-b1df-491d-bef9-6d9c5edee227', '2d3d47a2-03c8-4642-84ec-a8f67c64868c', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '085d7298-e568-4752-a909-8eecf82e3ebc', '8649b489-429a-4894-9c74-827e94f04566']","['2d3d47a2-03c8-4642-84ec-a8f67c64868c', '085d7298-e568-4752-a909-8eecf82e3ebc', '46c1720a-0af5-44e9-b008-09b89ef78bd9', 'e4bc0778-6eb7-4065-bf77-a9b6e293735f', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '48fe3ca9-b1df-491d-bef9-6d9c5edee227', '8649b489-429a-4894-9c74-827e94f04566']","[5.25, 7.75, 2.75, 1.5, 6.5, 4.0, 9.0]","[9403, 9021, 9503, 9791, 9511, 9570, 9574]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'black', 'grey', 'grey']","['Bounced off each other', 'Attract and part', 'Attract and then part', 'Slowly attract and part', 'Quickly attract then part', 'Move diagonally, attract then part', 'Moving in circle, attract then part']",magnets,"No, just watched the dots.",Videos seemed repetitive 
64,64,28064,6687039d98e84db6177ff497,8,8,17,48,7,7,"['31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', '112b96b3-6518-4053-ad9f-ff77320acc23', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '0a4312a1-7156-4c68-9698-0f1495558bee', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['9f7e489f-4076-4332-b57e-13a42d4c75fd', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '0a4312a1-7156-4c68-9698-0f1495558bee', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', '112b96b3-6518-4053-ad9f-ff77320acc23', '31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50']","[9.0, 7.75, 5.25, 4.0, 6.5, 2.75, 1.5]","[8051, 8004, 8097, 8191, 8203, 8191, 8061]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'black', 'grey', 'black', 'grey']","['clashed', 'They clashed', 'They clashed twice', 'They clashed twice', 'They clashed twice', 'They clashed twice', 'They clashed twice']",magnets,no,no
65,65,28065,6656335c8fdd09173f3d4a83,8,8,29,48,7,7,"['1b1159fc-de2b-4ae5-a736-d98d8524a366', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', '0890b767-b394-4f89-aea1-c60cab7014af', '0a4312a1-7156-4c68-9698-0f1495558bee', 'e3160d16-fe5e-4987-918b-0921ab937804', '015f75aa-de90-4fdc-8657-d630f1963869', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","['1b1159fc-de2b-4ae5-a736-d98d8524a366', '0890b767-b394-4f89-aea1-c60cab7014af', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', '015f75aa-de90-4fdc-8657-d630f1963869', '0a4312a1-7156-4c68-9698-0f1495558bee', 'e3160d16-fe5e-4987-918b-0921ab937804', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","[1.5, 4.0, 2.75, 7.75, 5.25, 6.5, 9.0]","[7942, 8049, 8057, 8073, 7990, 8018, 8028]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'black', 'grey', 'black', 'grey']","['the black started on the left, bounced into the gray and they switched positions', 'the gray seemed to start moving quick and both smacked into one another fast then went slow again, repeat', 'seemed to be kind of mirroring one another and bumping into each other', 'seemed like a little jousting session....like a boxing match', 'this one is harded....but slower bouncing into one another', 'black seemed to have the upper hand and when it would move towards gray- gray would move towards black', 'black was moving faster towards gray this time']",adults,i referred to boxing in one answer and i was assuming adults,none
66,66,28066,6673beb472e3c2b594f05d39,8,8,25,48,7,7,"['e838dadb-c02f-4273-ae93-210720dcd06c', '42a6675b-868f-488d-a671-17a04c97ab01', '70326c05-1133-4c5d-8a4c-3e71e0da8479', '1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed', '1827c058-6388-491a-b84c-d4d6c512039e', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['e838dadb-c02f-4273-ae93-210720dcd06c', '1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', 'abb20336-74c4-448b-a5f7-252c765a55f4', '42a6675b-868f-488d-a671-17a04c97ab01', '1827c058-6388-491a-b84c-d4d6c512039e', '70326c05-1133-4c5d-8a4c-3e71e0da8479']","[1.5, 5.25, 7.75, 9.0, 2.75, 6.5, 4.0]","[8067, 8113, 7838, 8037, 8094, 7978, 8012]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'black', 'grey', 'black']","['The dots moved clockwise and bounced together twice.', 'The dots each made a u shaped then rapidly hit each other, this was done twice.', 'The dots very slowly moved away from each other then rapidly hit each other, twice', 'The dots moved in unison then hit twice', 'The dots moved slowly away from each other, came back and slowly hit each other', 'For this one they were moving upward. The first time the black dot initiated the hit and the second time the gray dot did', 'Both dots came and bounced off each other at the same time']",balls,none,none
67,67,28067,634687fd74eaaee879dd3ba1,8,8,32,48,7,7,"['1f6c6525-a740-48c2-8dfc-9c4fb520c630', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '04b8ff17-66ff-4d6b-a0aa-a91efebb4368', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', '981d9d90-47c5-4443-a939-26060914c7e4', 'f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe']","['981d9d90-47c5-4443-a939-26060914c7e4', '46c1720a-0af5-44e9-b008-09b89ef78bd9', 'f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', '1f6c6525-a740-48c2-8dfc-9c4fb520c630', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '04b8ff17-66ff-4d6b-a0aa-a91efebb4368']","[7.75, 2.75, 9.0, 6.5, 1.5, 4.0, 5.25]","[7319, 8132, 8096, 8115, 8032, 8038, 8010]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'black', 'black']","['The dots moved in a circular motion then came together and touched', 'The dots move similarly but unpredictably and then touched', 'the dots move in ever growing angles then touched', 'The dots moved in a pendulum type movement and then touched', 'The dots pivoted around a central point and touched a number of times', 'The dots moved in similar but delayed patterns and touched', 'The dots moved in a similar pattern but the light grey dot moved much more quickly before touching I think twice.']",magnets,No - just tried to spot the patterns that seemed to emerge,It was interesting
68,68,28068,6659f7b686070a60418a9b41,8,8,27,48,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '7f445daf-d952-4bf3-b733-def683994895', '2abe0875-f8ff-4373-aad8-bca142211a09']","['bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '8ed7c0fc-1490-4e35-a000-7f7357a0772a', '2abe0875-f8ff-4373-aad8-bca142211a09', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '7f445daf-d952-4bf3-b733-def683994895']","[2.75, 4.0, 5.25, 1.5, 9.0, 6.5, 7.75]","[8007, 8069, 8121, 8087, 8086, 7998, 7968]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'grey', 'black']","['Circled round each other and bumping into each other 2 times', 'floated around and bumped each other twice', 'black dot was the aggressor and appeared to go for the other one, bumping it twice', 'dots gently floating and bumping off of each other twice', 'dots quickly bashing off of one another twice', 'dots gently bumping into one another, floating otherwise', 'centrally floating , and then bumping into one another twice']",animals,Note really - just observed what was happening and tried to describe as best as I could,None
69,69,28069,6658bd742faf93a3722865ec,8,8,35,48,7,7,"['15dfbaca-4429-4c18-90f4-8d4804129e6f', '8dc79a0d-b826-4ac2-8483-04346b06960d', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '5456278f-d454-4194-af69-2784112cffb9', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '6a57f963-5846-4eaa-a5d2-0e658499a4a9']","['6a57f963-5846-4eaa-a5d2-0e658499a4a9', '8dc79a0d-b826-4ac2-8483-04346b06960d', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '5456278f-d454-4194-af69-2784112cffb9', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '15dfbaca-4429-4c18-90f4-8d4804129e6f']","[9.0, 2.75, 4.0, 7.75, 6.5, 5.25, 1.5]","[8028, 8147, 8137, 8049, 8080, 8017, 8184]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'grey', 'grey', 'black']","['bumping', 'crashed together', 'followed one another', 'bumped', 'pulled together', 'move together', 'bumped together']",animals,Tried to watch for any pattern occuring,No
70,70,28070,665488225b3bbb3e8317b1bd,8,8,26,48,7,7,"['29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836', '88ff8e25-5b4f-453c-add2-298ef66c683c', '50781782-fbf2-4226-a593-5173be906638', '384dc3de-9717-4531-83a1-683588fe1381', '8bee64f6-a3cb-48f4-be48-142b9065f5d7', 'a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '8e6be05b-c10c-43db-b062-a559f5033312']","['a57832a0-0b6a-4bdf-a636-adf042cd3fcc', '29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836', '8bee64f6-a3cb-48f4-be48-142b9065f5d7', '88ff8e25-5b4f-453c-add2-298ef66c683c', '50781782-fbf2-4226-a593-5173be906638', '384dc3de-9717-4531-83a1-683588fe1381', '8e6be05b-c10c-43db-b062-a559f5033312']","[7.75, 1.5, 6.5, 2.75, 4.0, 5.25, 9.0]","[7992, 8284, 8132, 8242, 8106, 8162, 7730]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'grey', 'black', 'black', 'grey']","['The dots moved up and then collided twice.', 'The dots moved to the left and down and collided gently twice.', 'The dots hovered around the middle and collided roughly twice.', 'The dots moved to the right and then collided gently twice.', 'The dots hovered around the centre and then collided gently twice.', 'The dots moved to the middle at the bottom and collided twice gently.', 'The dots hovered around the middle of the box and collided twice.']",magnets,"I tried to point out roughly where in the box the balls were situated/moved to, and also how gently/roughly I thought they collided.","None really, quite enjoyable!"
