,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num
4,28082,44,2.75,8095,mirroring each other,0bad25fa-4a38-4561-9d35-56f1108797cd,4
1,28083,46,2.75,8122,they were attracted to each other,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,1
3,28084,47,2.75,9022,"they both moved far apart, collided, separated far again and collided again",8dc79a0d-b826-4ac2-8483-04346b06960d,3
5,28085,51,2.75,8123,gentle collision,4a2adf87-0f15-4bc0-9837-899addfb179c,5
0,28086,50,2.75,8192,they hit themselves,8fa1d226-bf98-4c72-8961-7121546d4a11,0
0,28087,48,2.75,7961,The dots collided with each other from time to time and then they would distance themselves from each other and then crash and bounce away,32110051-52cf-4952-a6e5-4c5fe75760b7,0
4,28088,52,2.75,8224,the dots speed has reduce anger has reduce.,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,4
1,28089,53,2.75,8139,"Circular movement but this time, black lead the attack on grey",3fd185a3-34a1-4f1a-9d01-aee3deee3988,1
4,28090,49,2.75,8247,attraction,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,4
2,28091,54,2.75,8059,fighting,46c1720a-0af5-44e9-b008-09b89ef78bd9,2
6,28092,55,2.75,8253,Two contacts with each colour taking it in turns to move first,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,6
2,28093,56,2.75,7967,random movements then crashing into eachother,94eac034-9d70-40c0-89d4-d9a030a03d26,2
6,28094,57,2.75,8028,Circled on the middle and touched two times slowly,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,6
4,28095,60,2.75,8057,slow clash and rebounding,88ff8e25-5b4f-453c-add2-298ef66c683c,4
4,28096,59,2.75,8127,"Both dots moves slowly and randomly afterwards collide in a slow fashion, this happened twice. ",c496efe1-6c3e-480d-856f-af132dbe7048,4
5,28097,58,2.75,8355,the black dot hit the other dot,c49bbdbd-6e52-4da5-887c-72db9cec7d93,5
6,28098,64,2.75,7993,Dots tapped each other slowly.,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,6
5,28099,63,2.75,9951,Dots moved slong the same line and collided periodically,4a2adf87-0f15-4bc0-9837-899addfb179c,5
4,28100,66,2.75,8105,the animations moved collided at the bottom of the box,c496efe1-6c3e-480d-856f-af132dbe7048,4
6,28101,65,2.75,8118,the dot punching,8fa1d226-bf98-4c72-8961-7121546d4a11,6
5,28102,67,2.75,8166,The black dot chased the grey dot and hit it twice,46c1720a-0af5-44e9-b008-09b89ef78bd9,5
