stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
5d03f888-af19-414e-95d1-aa95f64cd8b1,mimic,30,26.0,2.372,0,3,3
6ccf7af8-e546-4b8c-9638-a8cfdc77fdb2,mimic,120,23.0,2.482,1,3,4
55f379fa-f719-4bdf-85a4-a15f0d03283d,mimic,150,80.0,2.415,1,3,5
35fbacfe-f7fd-45d5-9266-5f6631809d11,chase,60,87.0,2.963,1,3,6
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,93.0,2.01,1,3,7
4270e833-4dad-483f-85cb-3dee1fccc571,chase,150,31.0,2.325,1,3,8
987cd79f-7d6a-426b-8983-8bee8675f0ba,chase,120,91.0,2.024,1,3,9
0ea53c63-8350-4a50-8dec-ccbbf0e401dc,wander,180,90.0,1.829,0,3,10
275adee0-f228-423e-816a-e5e70b874bf3,chase,150,30.0,2.221,1,3,11
3e4850f1-08eb-4b7f-a253-925d01b19b55,mimic,90,9.0,2.572,0,3,12
c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,92.0,1.981,1,3,13
9996b324-9da6-4bd7-a5d5-305513d257ce,chase,120,82.0,2.305,1,3,14
00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,wander,180,21.0,1.988,1,3,15
1b31e266-55d6-4286-af68-8a316608fe1f,mimic,150,21.0,2.137,1,3,16
3587071e-4537-406c-83f0-d8803f077fd2,mimic,60,1.0,2.002,1,3,17
2f9adc31-096c-49c5-ad0e-45cea6c1a263,mimic,120,32.0,2.487,0,3,18
ed0ef852-3813-4796-8ef5-3a8bbef06e1b,mimic,30,41.0,2.049,1,3,19
d9b1d24b-8e48-46f4-a110-6e0eaa636dd5,mimic,0,68.0,2.192,0,3,20
49e5ac90-6e7f-4243-9552-8c4c10545895,chase,0,91.0,2.674,1,3,21
1c695094-312c-450a-ac7f-f994dabb958d,wander,180,56.0,2.353,1,3,22
7fa729b4-a76f-4d75-a22b-3ecddb220ae0,mimic,90,63.0,2.175,0,3,23
249089b6-ef6d-4ddb-973d-6d7b9d53baf8,chase,60,75.0,2.082,1,3,24
4d01a600-7cc9-4842-a764-7e542e49b2ff,mimic,30,28.0,1.966,1,3,25
27771508-6d61-4618-83ca-4bc020efddfe,wander,180,39.0,2.156,1,3,26
37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,89.0,1.935,1,3,27
07cdb9d7-6577-428d-9498-8a7243527554,chase,0,93.0,2.024,1,3,28
94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,chase,120,59.0,1.867,1,3,29
8a3a6cd1-3183-4bfd-8414-818cba62218a,mimic,30,4.0,1.962,0,3,30
2a1ab94f-201b-4fa2-9947-1eab7365fb0f,chase,150,70.0,2.222,0,3,31
1d35e834-4947-46b2-9cbd-816ea4587c6f,wander,180,73.0,2.017,1,3,32
