,subID,stimset_rows,chargeSpeeds,stim_dur,responses,RT,movie,trial_num
12,26003,381,5.25,7999,0,2.1,5f5a825b-b433-4986-b5d6-5239eb407d32,12
14,26003,381,5.25,7992,0,2.26,384dc3de-9717-4531-83a1-683588fe1381,14
19,26003,381,5.25,7981,98,5.51,39d4c0f1-9195-4761-98c6-457bad8a2291,19
36,26003,381,5.25,8001,100,1.68,8b72023d-88b1-4615-b871-cac794edf1d9,36
46,26003,381,5.25,7996,0,2.17,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,46
49,26003,381,5.25,8021,100,2.43,82cc23d1-ba4b-48c5-995a-a30d865ea249,49
62,26003,381,5.25,7976,100,1.85,8e0deaa9-1ac5-4e69-817a-3204f157f360,62
63,26003,381,5.25,8027,100,2.91,27f4d7f8-d998-48b2-a3e4-f885f21c713d,63
0,26003,381,6.5,8059,0,3.74,8dbfdd79-2b3f-4297-8ec2-92d59884dd68,0
3,26003,381,6.5,7929,100,3.35,1827c058-6388-491a-b84c-d4d6c512039e,3
10,26003,381,6.5,7972,0,2.55,7c59d616-cf70-400a-8ebd-9b3cdfb854ec,10
23,26003,381,6.5,7978,0,2.1,5456278f-d454-4194-af69-2784112cffb9,23
25,26003,381,6.5,7949,100,3.6,debe6245-13a4-4a31-b28a-e7b25ce8fa93,25
27,26003,381,6.5,7904,100,1.86,14c0e4c6-94d9-41ec-b44a-5f6c8678230e,27
50,26003,381,6.5,8003,100,1.6,3c21b0c7-30d1-41a7-99ae-02e24be36ad3,50
52,26003,381,6.5,7945,0,2.61,d80f638e-7e4b-4e80-bc19-a4b764fd7614,52
56,26003,381,6.5,7982,100,1.6,8bee64f6-a3cb-48f4-be48-142b9065f5d7,56
67,26003,381,6.5,7995,100,1.53,755a600e-d336-4f66-8771-52eed84faf02,67
1,26003,381,7.75,8009,100,2.21,8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9,1
8,26003,381,7.75,8025,100,2.08,3dbdd697-e200-4003-92f8-47202577ad0a,8
13,26003,381,7.75,7900,100,2.17,8aeee0c2-7419-4cbe-aa42-af10b66f80b4,13
17,26003,381,7.75,7936,100,1.93,8845e64c-078b-4a3a-a732-1efe937de14a,17
22,26003,381,7.75,7922,100,1.94,085d7298-e568-4752-a909-8eecf82e3ebc,22
32,26003,381,7.75,7968,100,2.05,015f75aa-de90-4fdc-8657-d630f1963869,32
37,26003,381,7.75,7842,100,1.43,50f23891-0e3f-40d3-8bcb-a5bcfcec1987,37
48,26003,381,7.75,7913,100,2.41,453a1fa5-895a-4a5e-a4cf-25c0a35d74d2,48
53,26003,381,7.75,7917,100,2.0,7f445daf-d952-4bf3-b733-def683994895,53
66,26003,381,7.75,8029,100,3.7,5a652d01-49a0-4b52-a54c-51c21b53e0fe,66
4,26003,381,9.0,8027,100,2.42,a5228b86-ba0a-42f2-aa38-23b5369f0e56,4
21,26003,381,9.0,7935,100,2.57,91327185-f59e-4ae7-a000-fd66526bab82,21
26,26003,381,9.0,8000,100,2.24,8649b489-429a-4894-9c74-827e94f04566,26
31,26003,381,9.0,7998,100,1.5,abb20336-74c4-448b-a5f7-252c765a55f4,31
33,26003,381,9.0,8014,100,1.95,5b2465b2-47b6-4cc7-b06f-c362ff7454f8,33
34,26003,381,9.0,7955,100,1.8,9f7e489f-4076-4332-b57e-13a42d4c75fd,34
35,26003,381,9.0,8003,100,1.55,6a57f963-5846-4eaa-a5d2-0e658499a4a9,35
43,26003,381,9.0,7915,100,3.75,87da47db-3d5c-48b2-b3f2-123123d766f0,43
45,26003,381,9.0,7961,100,2.7,1be4605b-9f78-45d4-8eb0-87bdc69537e2,45
68,26003,381,9.0,8013,100,1.6,6e2932f2-a9d1-4f2a-9599-a872b605c1eb,68
