,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num,similarity_play,similarity_fight,similarity_play_fight
1,28025,63,6.5,8180,dots would charge at each other to the point of colliding. one dot always started the charge and the other seemed to brace itself for impact,5456278f-d454-4194-af69-2784112cffb9,1,0.08043470233678818,0.10463087260723114,-0.024196170270442963
0,28026,64,6.5,7992,they crashed twice,40860eea-1c44-4896-96b1-ee2d42a6c522,0,0.15555869042873383,0.19510246813297272,-0.03954377770423889
3,28027,71,6.5,8274,Dots surged together once and then more gently bumped another time,e2c787c5-5358-4a21-bb35-c422b37ef982,3,0.11915931850671768,0.0789223164319992,0.040237002074718475
0,28028,68,6.5,8027,Both dots struck each other twice head on.,debe6245-13a4-4a31-b28a-e7b25ce8fa93,0,0.13127906620502472,0.16139428317546844,-0.030115216970443726
4,28029,67,6.5,8271,"the black and grey dot has equal force in being pulled together. At first, it looked like the black dot was initiating the force then in the other bump it looked as though the grey dot was initiating the force",d98f2d5f-eb3b-4ebd-b714-878343382f2a,4,0.08628551661968231,0.11254829168319702,-0.02626277506351471
2,28030,74,6.5,7995,magnetic attraction,e3160d16-fe5e-4987-918b-0921ab937804,2,0.11756567656993866,0.11223334074020386,0.005332335829734802
6,28031,80,6.5,8029,changed who went first to hit,40860eea-1c44-4896-96b1-ee2d42a6c522,6,0.18813225626945496,0.21005183458328247,-0.021919578313827515
2,28032,73,6.5,8058,they attacked each other more quickly,187f8493-9a30-43cc-a2bd-5d96f6d2263d,2,0.1228029727935791,0.375400573015213,-0.2525976002216339
1,28033,83,6.5,8159,short circular and then attraction,187f8493-9a30-43cc-a2bd-5d96f6d2263d,1,0.08597976714372635,0.11926363408565521,-0.033283866941928864
3,28034,81,6.5,8269,"The grey dot attacked the black dot first, moved very suddenly",13e24563-ab7e-41df-adf6-e8e88b4d9e08,3,0.14605672657489777,0.13450999557971954,0.011546730995178223
6,28035,84,6.5,8031,fast hitting black dot,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,6,0.251425176858902,0.19878795742988586,0.05263721942901611
1,28036,76,6.5,8068,fought,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,1,0.3440033197402954,0.8571767807006836,-0.5131734609603882
0,28037,77,6.5,8287,The dots moved slowly apart then together quickly,d80f638e-7e4b-4e80-bc19-a4b764fd7614,0,0.1384900063276291,0.07478220015764236,0.06370780616998672
0,28038,86,6.5,7965,They were colliding with each other.,1827c058-6388-491a-b84c-d4d6c512039e,0,0.20359058678150177,0.3581188917160034,-0.15452830493450165
6,28039,90,6.5,7979,The two dots clashed at medium speed,8bee64f6-a3cb-48f4-be48-142b9065f5d7,6,0.09792039543390274,0.13009145855903625,-0.032171063125133514
0,28040,92,6.5,8018,bumped into each other,3c21b0c7-30d1-41a7-99ae-02e24be36ad3,0,0.229865163564682,0.2991226315498352,-0.0692574679851532
5,28041,85,6.5,9291,collision,7c59d616-cf70-400a-8ebd-9b3cdfb854ec,5,0.2893446385860443,0.45200881361961365,-0.16266417503356934
6,28042,91,6.5,8008,gentle nudging ,5456278f-d454-4194-af69-2784112cffb9,6,0.14679808914661407,0.17352508008480072,-0.026726990938186646
