,subID,stimset_rows,chargeSpeed,responses,movie,trial_num,similarity_playing,similarity_fighting,similarity_fight_play
0,24020,2,2.75,running to each other,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,0,0.3316315710544586,0.3095652461051941,-0.022066324949264526
2,24021,50,2.75,walking around and seeking each other,8fa1d226-bf98-4c72-8961-7121546d4a11,2,0.25585442781448364,0.2529345452785492,-0.0029198825359344482
3,24022,68,2.75,basketball,0bad25fa-4a38-4561-9d35-56f1108797cd,3,0.5795840620994568,0.4075186848640442,-0.1720653772354126
3,24023,57,2.75,The dots circle each other and then collide together.,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,3,0.1694827824831009,0.18908986449241638,0.01960708200931549
3,24024,17,2.75,grey dot was encouraging the other dot to make contact,112b96b3-6518-4053-ad9f-ff77320acc23,3,0.1857307106256485,0.08949779719114304,-0.09623291343450546
4,24025,3,2.75,Playing a game,8dc79a0d-b826-4ac2-8483-04346b06960d,4,0.8228989243507385,0.3966796100139618,-0.42621931433677673
6,24026,3,2.75,The dots were playing,8dc79a0d-b826-4ac2-8483-04346b06960d,6,0.48031604290008545,0.18664942681789398,-0.29366661608219147
5,24027,6,2.75,wandering around,4a2adf87-0f15-4bc0-9837-899addfb179c,5,0.40647366642951965,0.27930882573127747,-0.1271648406982422
2,24028,6,2.75,the kids were playing a game,4a2adf87-0f15-4bc0-9837-899addfb179c,2,0.45985645055770874,0.16753913462162018,-0.29231731593608856
5,24029,4,2.75,clicking from side to side,42a6675b-868f-488d-a671-17a04c97ab01,5,0.15662533044815063,0.053391993045806885,-0.10323333740234375
4,24030,25,2.75,"this one is football. when the ball comes close, they come together and when the bass is not they more apart.",42a6675b-868f-488d-a671-17a04c97ab01,4,0.2758694589138031,0.182937353849411,-0.09293210506439209
5,24031,49,2.75,hugging,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,5,0.2686764895915985,0.4343211054801941,0.16564461588859558
3,24032,62,2.75,going down a slide,c49bbdbd-6e52-4da5-887c-72db9cec7d93,3,0.28663915395736694,0.05928407236933708,-0.22735508158802986
0,24033,56,2.75,They keep knocking into each other.,94eac034-9d70-40c0-89d4-d9a030a03d26,0,0.19801326096057892,0.4666745662689209,0.268661305308342
4,24034,94,2.75,Enjoying the spacious environment,94eac034-9d70-40c0-89d4-d9a030a03d26,4,0.29411542415618896,0.18885016441345215,-0.10526525974273682
0,24035,19,2.75,they were moving apart before coming back together and appearing to strike each other,c49bbdbd-6e52-4da5-887c-72db9cec7d93,0,0.16483668982982635,0.34701454639434814,0.1821778565645218
