,subID,PSE_subt,range_subt,bias_subt,sigma_subt,PSE_pf,slope_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
94,30121.0,0.3319327714035778,0.8331726513812273,0.8022957807343907,0.100314575228089,0.4297671091271454,0.6542857163159853,0.6329201004482908,5.0,9.0,8.0,18.0,2.0,30.0,1.0,24.0,42.0,49.0,50.0,49.0,28.0,4.0
95,30123.0,0.4001622304255064,0.6156406222342179,0.4964206171466723,0.1643364013082834,0.4403202396996634,0.4907142938673667,0.5575035016323951,6.0,16.666666666666668,14.0,12.0,7.0,23.33333333333333,7.0,37.0,41.45454545454545,34.0,37.0,33.0,32.0,7.0
96,30124.0,0.3374670492791191,0.5768145198813336,0.7466950617129167,0.1303422908685233,0.0,0.0503571459217876,0.5371066808012679,21.0,24.0,14.0,16.0,21.11111111111111,4.0,19.0,50.0,26.0,44.0,42.0,29.0,69.0,0.0
97,30127.0,0.3419046937172085,0.7510360058468062,0.5406579408547935,0.1444004654480507,0.4321033281259748,0.483928570382821,0.5636678131516055,7.0,10.0,9.0,22.0,16.0,32.0,22.0,26.0,44.0,43.0,39.0,35.0,55.0,1.0
98,30128.0,0.4209695422174023,0.9204284058751927,0.8153766368973788,0.1141576361375965,0.4488237751308196,0.8653571409713908,0.8289124425759042,14.0,14.0,10.0,14.0,9.0,20.0,1.0,27.0,43.0,41.0,38.0,59.0,60.0,3.0
99,30129.0,0.4620554692145682,0.905938957203232,0.5270508060601704,0.0805626613557645,0.6478382172424157,0.6828571436930855,0.18168167515923042,18.0,14.0,19.0,19.0,13.0,15.0,9.0,37.0,28.0,28.0,35.0,38.0,58.0,2.0
100,30130.0,0.5198568737129857,0.8719416131424869,0.5326493377670902,0.1279723722928035,0.5223591471679381,0.9570043957501188,0.00232581915627518,12.0,14.0,11.0,14.0,16.0,29.0,17.0,43.0,40.0,34.0,43.0,41.0,47.5,3.0
101,30131.0,0.3847381555293655,0.7602346842438854,0.9980474743778971,0.0765513864685785,0.4763837652718906,0.9678571509430453,1.0,7.0,14.0,8.0,16.0,3.0,25.0,6.0,26.0,47.0,47.0,50.0,49.0,34.0,3.0
102,30133.0,0.3338974200225704,0.6342860170798217,0.57978083232281,0.1130995997251883,0.4309994905378247,0.4692857083215864,0.5610139079825808,2.0,13.0,5.0,15.0,8.88888888888889,25.0,0.0,38.0,54.0,43.0,42.0,31.63636363636364,36.0,13.0
103,30134.0,0.3734003855072277,0.7249417361933332,0.6059915935618513,0.0631886710533925,0.5813333364224885,0.5357142935932429,0.4061538396166296,16.0,18.0,5.0,26.0,12.0,22.0,12.0,53.0,29.0,45.0,44.0,44.0,71.0,2.0
104,30135.0,0.3529526248791177,0.8121024067513789,0.9995071021133357,0.0677932533036216,0.387337741000249,0.9721428493112352,1.0,14.0,25.0,13.0,6.0,9.0,19.0,8.0,48.0,24.0,31.0,34.0,35.0,46.0,3.0
105,30136.0,0.4897693663362492,0.9999999999999952,0.8137299551834342,0.0147596790491568,0.4015908273418841,0.965357146200184,1.0,5.0,13.0,11.0,23.0,6.0,30.0,1.0,32.72727272727273,50.0,39.0,51.0,56.0,25.0,2.0
106,30138.0,0.5400931724243583,0.7876609109053065,0.581426909028309,0.1396642969211545,0.5056818191167398,0.7542857054726607,0.48255813749427057,6.0,13.0,10.0,25.0,4.0,29.0,0.0,27.0,41.0,36.0,42.0,55.0,32.0,3.0
107,30139.0,0.1382892660341715,0.4692124628869865,0.8342967234967681,0.1145550863279508,0.471410008593344,0.9160714296632612,0.8120567191467002,19.0,21.0,10.0,24.0,14.0,28.0,6.0,45.0,36.0,36.0,38.0,48.0,54.888888888888886,2.0
108,30140.0,0.2496046933028308,0.4549929787653616,0.6422064443164768,0.0240712259818957,0.5637140695202715,0.612857145555033,0.39913898105165946,16.0,16.0,13.0,12.0,14.0,29.0,8.0,30.0,41.0,29.0,40.0,47.0,40.0,2.0
109,30142.0,0.376624045699828,0.6857566761257837,0.7932952746478781,0.094699382670563,0.429437713517012,0.6478571450487552,0.6298174329713726,14.0,17.0,4.0,14.0,8.0,9.0,11.0,51.0,28.0,45.0,42.0,42.0,59.0,4.0
110,30143.0,0.4514307940934682,0.7256204564941134,0.7861755470879602,0.1275222227366504,0.4664026920483524,0.496071437561535,0.5330734673445039,12.0,18.0,9.0,21.0,10.0,12.0,9.0,46.0,27.0,52.0,41.0,29.0,34.0,5.0
111,30144.0,0.4347941878492364,0.7011487428526891,0.9212973812906878,0.062938239201767,0.5005299390196565,0.8985714326511547,0.4953051879114822,20.0,18.0,6.0,16.0,16.0,18.0,10.0,41.0,29.0,49.0,39.0,51.0,55.0,2.0
112,30145.0,0.4723288626770642,0.850476590253392,0.33020672829768866,0.0875167569049302,0.160265876084705,0.241785719217877,0.6083372624015759,18.0,17.0,10.0,21.0,11.0,19.0,9.0,41.0,28.0,52.0,47.0,48.0,61.0,3.0
113,30147.0,0.2458801870333541,0.36701299734882176,0.6767699846068806,0.1418998372047571,0.3888123169692998,0.5182142918981267,0.6195947606178557,2.0,5.0,6.0,12.0,0.0,23.0,2.0,19.0,46.0,43.0,47.0,46.0,32.0,7.0
114,30148.0,0.4730064144570263,0.9358555267773283,0.9714461220588676,0.0600684301235774,0.476701856843499,0.9810714322965572,1.0,4.444444444444445,10.0,10.0,14.0,4.0,40.0,0.0,14.0,48.0,43.0,48.0,57.81818181818182,25.0,3.0
115,30149.0,0.4194105476721622,0.9320989692307803,0.4941347233387408,0.0851892261758866,0.2617047777688472,0.765357141496612,1.0,6.0,9.0,7.0,22.0,1.0,35.0,6.0,34.0,46.0,48.0,50.0,54.0,31.0,5.0
116,30150.0,0.3163499907166904,0.6666666663785703,1.0,0.0154591193948753,0.3792857117990283,1.0,1.0,20.0,21.0,9.0,11.0,3.0,14.0,0.0,37.0,33.0,44.0,41.0,46.0,53.0,4.0
117,30151.0,0.4079416733826368,0.9494675962279047,0.9995625360741064,0.0549540348541609,0.3343347678348223,0.8321428603948237,1.0,23.0,26.0,12.0,10.0,18.0,10.0,24.0,51.0,24.0,51.0,36.0,38.0,61.0,7.0
118,30152.0,0.4540364838527188,0.48599960331962244,0.6225682658084465,0.0332500513291968,0.3632986693654846,0.4807142876439039,0.6265474501075465,8.0,12.0,9.0,21.0,9.0,29.0,0.0,26.0,46.0,42.0,45.0,48.0,32.0,5.0
119,30153.0,0.0,0.28717950541183995,0.891214447040384,0.2025729810222806,0.6013941764043292,0.4696428493182606,0.4102132405500778,11.0,15.555555555555555,13.0,14.0,13.333333333333334,31.0,0.0,27.6,42.66666666666666,33.6,38.4,48.0,42.0,3.0
120,30156.0,0.0,0.37074745702986156,0.9311828945978924,0.0962629199837537,0.4491821549437564,0.7496428606167495,0.6521635645469825,9.0,17.0,12.0,22.0,10.0,29.0,17.0,41.0,43.0,47.0,41.45454545454545,41.0,47.0,15.0
121,30157.0,0.2965519633642207,0.7104143114368897,0.9525347859600826,0.0858289613728282,0.3587215020199695,0.8510714236726071,1.0,6.0,11.0,9.0,21.0,5.0,34.0,1.0,24.0,44.0,41.0,38.0,46.0,41.0,2.0
122,30158.0,0.4395082200019672,0.6438112687553823,0.48398011603955093,0.0779434712282255,0.5250878130395468,0.711785717108972,0.43804211638671176,15.0,22.0,15.0,20.0,15.0,15.0,1.0,37.0,35.0,39.0,41.0,48.0,47.0,6.0
123,30160.0,0.3176805544606778,0.4114366143382197,0.6428706493143572,0.0801493515936293,0.0,0.524285719063947,1.0,12.0,22.0,11.0,18.0,9.0,18.0,8.0,44.0,37.0,50.0,42.0,41.0,74.0,1.0
124,30161.0,0.4307587427424345,0.5827661071944372,0.6601549722058406,0.0640454149972796,0.5126291636373946,0.622142860627843,0.4792060459522848,14.0,9.0,11.0,17.0,3.0,24.0,0.0,21.0,25.0,46.0,38.0,55.0,46.0,3.0
125,30162.0,0.3600666410947061,0.6825015750196252,0.8203922884525839,0.0784516038258139,0.4682029349739657,0.6664285676467243,0.5635260410376735,16.0,17.0,7.0,4.0,4.0,13.0,1.0,35.0,33.0,32.0,50.0,54.0,77.0,3.0
126,30163.0,0.2547442629222619,0.30040149316718634,0.6457597879045379,0.2383580843837346,0.4626168285436476,0.267500006739126,0.5136518753699738,18.0,17.0,17.0,22.0,17.0,15.0,13.0,46.0,34.0,41.0,40.0,41.0,68.0,2.0
127,30164.0,0.3862347716530859,0.7218243642487808,0.80396533309873,0.1411338691679481,0.350483734624217,0.6767857126764973,0.8130754925997342,21.0,12.0,21.0,23.0,11.0,14.0,3.0,34.0,26.0,35.0,39.0,57.0,42.0,3.0
128,30165.0,0.4142669255833733,0.9983836882022791,0.9361753714962282,0.0638114533180574,0.5418331184876192,0.9226087940053128,0.0012921364735789843,21.0,20.0,12.0,16.0,10.0,17.0,11.0,34.0,26.0,34.0,37.0,51.0,35.0,3.0
129,30166.0,0.4818849816104328,0.26645055481739727,0.41119137704800274,0.0880044749173416,0.14267484939848,0.2332142914804146,0.6086787754385192,9.0,11.0,9.0,14.0,8.0,30.0,2.0,24.0,40.0,43.0,44.0,46.0,37.0,3.0
130,30169.0,0.354754319512939,0.8331595136570809,0.7185416474763845,0.0794552929133082,0.3695991304116268,0.7632142857259491,0.9203117018526976,24.0,18.0,10.0,17.0,15.0,19.0,4.0,39.0,39.0,44.0,46.0,50.0,57.0,2.0
131,30170.0,0.1756132527264758,0.55828722486728,0.7467805669690626,0.0950444369244399,0.4559270552237543,0.4700000089111037,0.5390835561997201,12.0,15.0,10.0,17.0,9.0,13.0,3.0,42.0,36.0,43.0,44.0,36.0,55.0,5.0
132,30171.0,0.4617045890159573,0.9856664685162156,0.8760492517671562,0.0849090546077364,0.4760622381560499,0.7957142922735613,0.5932400970986119,11.0,16.666666666666668,14.0,20.0,15.0,35.0,7.0,34.0,48.0,39.0,40.0,50.0,40.0,3.0
133,30172.0,0.3559392731160956,0.788048881692879,0.8500780263004901,0.1467404412792266,0.3325146191717754,0.5089285794734015,0.6735757639002191,6.0,4.0,10.0,13.0,3.0,23.0,2.0,25.0,37.0,44.0,45.0,43.0,41.0,4.0
134,30173.0,0.4579658210910249,0.8848017539180416,0.27348905285883957,0.0704875336795494,0.6607142918174235,0.5199999991760307,0.32589285110588,17.0,15.0,13.0,18.0,13.0,18.0,1.0,38.0,28.0,38.0,42.0,44.0,57.0,3.0
135,30174.0,0.2841948416884433,0.794035858017642,0.7896068879974898,0.0443096890597312,0.098924733932173,0.4428571402231168,0.8188034132146178,11.0,11.0,10.0,17.0,3.0,25.0,1.0,25.0,45.0,36.0,48.0,51.0,37.0,5.0
136,30176.0,0.4188650467498296,0.7943908853468973,0.8080770555018442,0.1613004314196311,0.6477930418007141,0.5512857126808579,0.318423003944981,11.0,11.0,16.0,20.0,8.0,31.0,2.0,25.0,43.0,47.0,42.0,58.0,36.0,3.0
