,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev
62,30004,1,60.0,,99.0,black,black,,2397.0,804f9681-f112-463c-a764-a40a823d6845,62,5654,0.6666666666666666,,1.0,,
63,30004,1,90.0,,70.0,black,black,,2842.0,1d4805c2-68cf-415b-af2f-f7c0564b59aa,63,5630,0.5,,1.0,,
64,30004,1,60.0,,99.0,grey,grey,,2239.0,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,64,5612,0.6666666666666666,,1.0,,
65,30004,1,0.0,,99.0,black,black,,3541.0,47505654-05f0-4b92-a9a3-978c80bda46b,65,5642,1.0,,1.0,,
66,30004,1,90.0,,100.0,grey,grey,,2776.0,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,66,5656,0.5,,1.0,,
67,30004,1,0.0,,100.0,black,black,,3392.0,bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,67,5636,1.0,,1.0,,
68,30004,1,30.0,,100.0,grey,grey,,3019.0,0a730462-ba50-4dbe-97c6-911f61a40346,68,5638,0.8333333333333334,,1.0,,
69,30004,1,120.0,,22.0,black,grey,,3883.0,a68cb7dc-2812-45a9-b8f6-862ff43630fb,69,5648,0.3333333333333333,,0.0,,
14,30005,1,180.0,,26.0,grey,black,,7042.0,00139b14-fa60-4af8-9eba-0b4965060c34,14,6037,0.0,,0.0,,
15,30005,1,150.0,,75.0,black,black,,5202.0,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,15,5971,0.16666666666666666,,1.0,,
16,30005,1,180.0,,57.0,grey,grey,,2885.0,8af66fd7-6ab4-47a3-a88c-02fd34772ac6,16,6053,0.0,,1.0,,
17,30005,1,90.0,,81.0,grey,grey,,3200.0,c7f85153-52e8-4379-839f-9596d6a3ee62,17,5970,0.5,,1.0,,
18,30005,1,180.0,,12.0,grey,grey,,6940.0,27771508-6d61-4618-83ca-4bc020efddfe,18,6057,0.0,,1.0,,
19,30005,1,120.0,,64.0,grey,grey,,3578.0,1bc0b0c8-e058-4a68-bdab-65b544a8848d,19,6025,0.3333333333333333,,1.0,,
20,30005,1,60.0,,92.0,grey,grey,,4495.0,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,20,6069,0.6666666666666666,,1.0,,
21,30005,1,120.0,,82.0,black,black,,3650.0,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,21,5920,0.3333333333333333,,1.0,,
22,30005,1,90.0,,93.0,black,black,,3644.0,42ffed3d-edac-4ca7-9b33-6f525cb7c364,22,5959,0.5,,1.0,,
23,30005,1,30.0,,95.0,black,black,,3219.0,69cbd581-b3e6-4aa9-8cc0-319380d1e9ce,23,5964,0.8333333333333334,,1.0,,
