,index,subID,r_squared_subt,nrmse_subt,aic_subt,subj_center_subt,PSE_subt,sigma_subt,bias_xmin_subt,bias_xmax_subt,bias_lower_subt,bias_upper_subt,flipped_subt,range_subt,bias_subt,r_squared_pf,nrmse_pf,aic_pf,PSE_pf,slope_pf,intercept,bias_xmin_pf,bias_xmax_pf,bias_lower_pf,bias_upper_pf,flipped_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
10,10,30016.0,0.9534082320379744,0.0720271428641797,-32.82997145494888,0.3710640609714416,0.3208284994058807,0.1815969181458739,0.2773581115647578,0.121362239794448,0.1966666666666666,0.0999999999999999,False,0.6012796486407941,0.6956206539728063,0.8250509153819201,0.1425599153699675,-29.66651835960753,0.4477838552695482,0.5882142837614643,0.2366071402926755,0.2366071402926755,0.1751785759458601,0.0,0.0,False,0.5882142837614645,0.5745880222703398,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
11,11,30017.0,0.9783834852730338,0.0652111436614789,-34.2217487344068,0.5509971796197045,0.5509971796197045,0.0676255222244547,0.000289296333761,0.0013059120729942,0.0,0.0,False,0.9984047915932448,0.1813533156770752,0.8368075416229913,0.1581108104611752,-22.63912631455267,0.5857896363370672,0.8533780200105048,0.0001,0.0001,0.1465219799894952,0.0,0.0,False,0.8533780200105048,0.0006820259827835128,24.0,18.0,10.0,5.0,19.0,0.0,33.0,57.0,13.0,28.0,33.0,32.0,79.0,1.0
12,12,30018.0,0.9920524295050328,0.039044311010197,-41.40281337294607,0.4931218467144801,0.4776413697954618,0.0749245367478057,0.0945879247849137,0.0010443972784004,0.0933333333333333,0.0,False,0.9043676779366858,0.989079034620649,0.8356893582058588,0.1236096405910686,-30.91032953240304,0.4914803047014942,0.5589285797489405,0.2252976113186173,0.2252976113186173,0.2157738089324421,0.0,0.0,False,0.5589285797489405,0.5107962134349515,15.0,15.0,13.0,18.0,9.0,16.0,2.0,33.0,29.0,40.0,40.0,40.0,54.0,3.0
13,13,30019.0,0.958538622447537,0.0750405458448505,-32.256173803622886,0.3345601460973818,0.1892402433161013,0.1208184481297142,0.3945299086474004,0.0308104485720361,0.3583333333333333,0.0283333333333333,False,0.5746596427805636,0.9275628375039411,0.7372344700314517,0.1753502746529406,-26.95362711462228,0.2708603603301235,0.5507142917145705,0.3508333285072426,0.3508333285072426,0.0984523797781868,0.0,0.0,False,0.5507142917145706,0.7808691040854556,19.0,22.0,11.0,14.0,13.0,18.0,7.0,37.0,28.0,36.0,34.0,46.0,49.0,3.0
14,14,30020.0,0.9974723146808052,0.0202659299030941,-50.5833978592655,0.5120498429355036,0.5507682045615743,0.1073112422036759,0.1582726647326033,0.2645033142263253,0.1533333333333333,0.2583333333333333,False,0.5772240210410715,0.37436532019237306,0.8910331980453738,0.123506446299988,-32.43202571793768,0.6711610516652662,0.6357142939520068,0.0733333259125289,0.0733333259125289,0.2909523801354642,0.0,0.0,False,0.6357142939520068,0.20130717372387802,10.0,14.0,9.0,11.0,6.0,15.0,12.0,48.0,30.0,50.0,47.0,54.0,44.0,4.0
15,15,30022.0,0.982899516670571,0.0629426014101978,-34.7174487925571,0.3739323218934789,0.3739323218934789,0.0253002324174249,3.8125466275628827e-07,1.7912338279302276e-11,0.0,0.0,False,0.9999996187274249,0.9999530195994956,0.843093324777366,0.178424574359564,-20.13025047538613,0.5000791510402041,0.9996417546305792,0.0001,0.0001,0.0002582453694208,0.0,0.0,False,0.9996417546305792,0.27913829050094047,14.0,12.0,14.0,14.444444444444445,11.0,24.0,0.0,24.0,40.0,39.0,43.0,44.0,55.0,1.0
16,16,30024.0,0.9680572415931576,0.0727435588436339,-32.69140881114957,0.5301296404443931,0.5287288833768315,0.123031833431153,0.0749889166713979,0.0771966686545544,0.0633333333333333,0.0583333333333332,False,0.8478144146740476,0.4927465141378931,0.3351745413170854,0.293635526199199,-17.69021552091528,0.7461846145880017,0.452428561768207,0.1624047680083865,0.1624047680083865,0.3851666702234064,0.0,0.0,False,0.45242856176820717,0.29659101382793235,8.0,10.0,10.0,23.0,3.0,20.0,3.0,24.0,48.0,46.0,49.0,51.0,40.0,10.0
17,17,30027.0,0.9964898829557564,0.0230017856630286,-48.81056799961095,0.3923612350747752,0.3221519475918983,0.1184814353677412,0.2566750713064587,0.0161334059379354,0.23,0.0116666666666667,False,0.7271915227556058,0.9408617866244591,0.8550524977565062,0.1316798312723437,-26.01481895518769,0.3976718235554998,0.8539285636984737,0.1604166708878991,0.1604166708878991,0.0,0.0,0.0,False,0.8395833291121009,1.0,9.0,8.0,6.0,17.0,5.0,27.0,0.0,20.0,46.0,50.0,48.0,58.0,29.55555555555556,10.0
18,18,30028.0,0.9849474697045036,0.0466122684784688,-38.92248100602558,0.3743458363891358,0.3217713692582785,0.1312794311491271,0.2105933663101664,0.0070507337472939,0.165,0.0,False,0.7823558999425396,0.9676042964388539,0.9291782641124996,0.0886907035667748,-35.523088770848744,0.6375368795828474,0.6457142849151256,0.0883333296931411,0.0883333296931411,0.2659523853917332,0.0,0.0,False,0.6457142849151256,0.2493279461521037,20.0,21.0,14.0,15.0,14.0,6.0,13.0,46.0,25.0,37.0,39.0,46.0,63.0,3.0
19,19,30029.0,0.9705656436200376,0.0630740222233703,-34.68824800938437,0.5210158140242227,0.3721002572179432,0.1372783050396306,0.3524015231909677,0.0406251396088055,0.3383333333333334,0.0216666666666667,False,0.6069733372002268,0.8966351562018532,0.941075161849864,0.0929946413454812,-37.20476423050364,0.6025061294981849,0.6317857172691485,0.1193452328159307,0.1193452328159307,0.2488690499149207,0.0,0.0,False,0.6317857172691486,0.32411896662674233,12.0,10.0,11.0,16.0,7.0,28.0,0.0,16.0,40.0,33.0,47.0,53.0,47.0,1.0
